,real_target,QS-Prediction,AS-Prediction
848,kyasanur forest disease : causes,kyasanur forest disease : causes . .,virology | subdivision_ranks . virologist : symbiosis - physicology .
849,gnathostomiasis : diagnosis,gnathostomiasis is the most common disease in the world,gnathostomiasis . diagnosis : diagnosis . expert expert expert . expert expert: diagnosis of gnatitis .
850,dwarfism : treatments,dwarfism is a disease characterized by sclerosis .,dwarfism : treatments physiology - treatments - physiotherapy . symbiosis syndrome : treatment
851,encopresis : causes,encopresis : causes of disease . u.,encopresis : physiology : causes physiologic . physiological esophageal reflux syndrome : symptoms
852,occupational asthma : prevention,occupational asthma : prevention . click here for all the latest .,occupational asthma : preventive measures - prevention - physiology : prevention : interventions . physiologic sclerosis : treatments
853,zollinger–ellison syndrome : treatments,zollinger–ellison syndrome is a chronic disease . it,omeprazole and lansoprazola . h2-receptor antagonists : physiology .
854,central nervous system cavernous hemangioma : symptoms,central nervous system cavernous hemangioma : symptoms,"central nervous system|cns . symptoms include headaches, focal neurological deficit . venous angioma : symptoms"
855,meningoencephalitis : symptoms,meningoencephalitis symptoms : symptoms of . .,"meningeoncephalitis . symptoms include headache, fever, neck stiffness . signs include sensitivity to inflammatory bowel disease ."
856,lichen sclerosus : symptoms,lichen sclerosus symptoms : symptoms . .,lichen sclerosus : symptoms physiology : treatments . physiologic stenosis : causes
857,trachea : general,[{'summary_text': "trachea : 'i'm not sure what to"}],[{'summary_text': "trachea . he says it's a cartilage|cartilaginous tube . invertebrates : physiology"}]
858,frostbite : treatments,frostbite : treatments for the public . click here for,frostbite : prevention : treatments : interventions . experts: treatments: treatments; treatments; treatment; treatments ; treatments: prevention
859,vaccinia : general,vaccinia : u.s. spokesman:,[{'summary_text': "vaccinia virus : physiology - general : general physiologies - physiologic . physiologist edward jenner's disease"}]
860,feline panleukopenia : diagnosis,feline panleukopenia : diagnosis . .,feces with a septicaemia . elisa : diagnosis . vet vet vets: diagnosis
861,mitochondrial disease : diagnosis,mitochondrial disease is the most common disease in the u.s.,mitochondrial diseases : detection . adolescent blot disease : diagnosis physiology - diagnosis
862,aphonia : causes,aphonia is a common disorder that affects people ,tracheotomy : physiology : causes physiologic : treatments . physiological asymptomatic aphonia
863,carcinoid : causes,carcinoid : causes of . . click here for,achlorhydria : physiology . psychiatric recurrent syndrome : causes . causes : symptoms
864,bovine alphaherpesvirus 1 : diagnosis,bovine alphaherpesvirus 1 is a rare disease ,elisa infection : diagnosis physiology : diagnoses : diagnostics / diagnosis . symbiosis : treatments
865,aspartylglucosaminuria : symptoms,aspartylglucosaminuria : symptoms .,aspartylglucosaminuria . symptoms include scoliosis . physiology : symptoms .
866,hand injury : diagnosis,hand injury diagnosis : diagnosis of a traumatic brain injury .,finger injuries : treatments : treatment . splints and angularity : diagnosis : diagnose
867,liposarcoma : diagnosis,liposarcoma : diagnosis . u.s,liposarcoma 02.jpg|thumb|left|right|ct] . hepatitis c : diagnosis
868,gigantism : general,[{'summary_text': "gigantism : what is gigantasm's"}],gigantism . he says it is caused by over-production of growth hormone . it is a common symptom of acromegaly .
869,aphthous stomatitis : symptoms,aphthous stomatitis : symptoms,aphthous stomatitis . he says he explains symptoms : physiology .
870,supraventricular tachycardia : diagnosis,supraventricular tachycardia : diagnosis . .,image:sv tachycardia marked .jpg|thumb|upright image: svg tetracardia .
871,granuloma inguinale : treatments,granuloma inguinale : treatments .,azithromycin 1gram oral/iv : regimen : treatments : treatment : interventions : prevention : prévention : intervention : diagnosis
872,chronic traumatic encephalopathy : prevention,chronic traumatic encephalopathy : prevention . click here for,repetitive concussion : prevention - prevention : treatments - physiology – prevention – prévention – interventions – physiotherapy : interventions
873,heart failure : causes,heart failure : causes of a comorbidity .,myocarditis : physiology : causes . physiologic fibroblastic fibrosis . causes
874,uveitis : symptoms,uveitis symptoms : symptoms of a coma,anterior uveitis : signs physiology : symptoms . sclera headaches : causes
875,cornea : symptoms,cornea is a symptom of swollen somatos,corneal abrasion : physiology : symptoms : causes . symbiosis : treatments
876,transient ischemic attack : treatments,transient ischemic attack : treatments . u.s,carotid artery stenosis . he says tia : physiology : prevention : treatments
877,periosteal reaction : general,periosteal reaction : a . general .,periosteal reaction : physiology - psychiatry . bronchitis : symptoms
878,delusion : physiology,delusion physiology : physiotherapy . .,delusions : physiology : causes . socio-economic equivalence : mechanisms : treatments
879,spondylosis : treatments,spondylosis . treatments for a coma,"cervical spondylosis with myelopathy . he says treatment focuses on restoring range of motion, flexibility and core strength ."
880,hypereosinophilic syndrome : symptoms,hypereosinophilic syndrome : symptoms . .,"as hes affects many organs, symptoms may be numerous . symptoms include : physiology , psychiatric disorders ."
881,hernia : treatments,[{'summary_text': "hernia's treatment aims to improve her health ."}],hernia repair : treatments . experts: treatments for amputations : treatment : prevention : interventions
882,anxiety : symptoms,anxiety symptoms : a sympathetic brain : symptoms,anxiety : physiology : symptoms : causes . socioeconomic status quo : signs of anxiety - symptoms
883,chlamydia : prevention,chlamydia - a chronic disease .,"chlamydia infected women : prevention . sex abstinence, use of condoms . prevention"
884,sleep deprivation : treatments,sleep deprivation : treatments . a symptom ,sleep deprivation : treatments physiology - treatments - physiotherapy . san francisco syndrome : prevention
885,sulfatidosis : general,sulfatidosis is the most common disease in the world ,sulfatidosis . a form of lysosomal storage disease . it consists of a proliferation of sulphide .
886,torticollis : causes,torticollis : causes of a coma ,[{'summary_text': "sternocleidomastoid muscle torticollis . he says he can't predict cause of injury : causes"}]
887,baby bottle : general,baby bottle : what is a tada .,"baby bottle, or nursing bottle, is a bottle with a teat . it is used by infants and young children, or for feeding oneself ."
888,biliary atresia : symptoms,biliary atresia symptom : symptoms ,"biliary atresia . symptoms include conjugated jaundice, pale white stools and dark urine . syndrome : symptoms"
889,birt–hogg–dubé syndrome : treatments,birt–hogg–dubé syndrome : treatments ,birt–hogg–dubé syndrome : treatments . bronchial fibrofolliculosis : diagnosis
890,schistosoma haematobium : physiology,schistosoma haematobium : physio,schistomiasis : physiology : symptoms : causes . squamous metaplasia : signs
891,lyme disease : diagnosis,lyme disease is the most common disease in the u.s,lyme radiculopathy : diagnosis physiology : treatments physiologique : diagnostics : general physiologies
892,glaucoma : causes,glaucoma causes : causes . click here for more,primary open-angle glaucoma . hepatitis c : physiology : causes : treatments
893,common carotid artery : general,common carotid artery . artery is a common,common carotid arteries . general . physiology . (physiology) . common . disease .
894,denys–drash syndrome : causes,denys–drash syndrome causes a disproportionate number of deaths,dds : physiology : causes . socioeconomic status . physiologic maladies : symptoms
895,lymphocele : symptoms,lymphocele . symptoms : symptoms of . .,lymphoceles : symptoms : diagnosis  san francisco lymphocele : physiology
896,diphyllobothriasis : treatments,diphyllobothriasis : treatments .,diphyllobothriasis : treatments - treatments : diagnosis : treatment . diagnosis: treatments: treatments
897,cardiogenic shock : treatments,cardiogenic shock : treatments . a randomized controlled trial ,cardiac arrhythmia : treatments : treatment : interventions : therapies . experts: treatments for cardiovascular shocks : diagnosis
898,helminthiasis : diagnosis,helminthiasis is a rare disorder . it,specific helminths : identification . faecal apoptosis . diagnosis : diagnosis
899,breast pain : causes,breast pain causes : bowel disease . bowel syndrome :,cyclical breast pain : physiology : causes . san francisco breast disease : symptoms
900,basal-cell carcinoma : treatments,basal-cell carcinoma is a common disease . it can cause,basal-cell carcinoma (bcc) : treatments . bc-cyphalosis : treatment
901,radiation-induced lung injury : diagnosis,radiation-induced lung injury . symptoms ascribed to the disease ,high resolution ct thorax . symbiosis - a symptom - is a problem .
902,erythroderma : causes,erythroderma : causes of a coma .,[{'summary_text': "exfoliative dermatitis : physiology : causes . sézary's disease : symptoms"}]
903,salpingitis : general,salpingitis is the most common disease in the u.s,salpingitis . he says it can be used as a general symptom . it can also be referred to as symptomatic .
904,abrasion (dental) : general,abrasion (dental) is a common disorder .,non-carious cervical lesions . abrasion : physiology : causes physiologic : symptoms . sociology
905,mycobacterial cervical lymphadenitis : diagnosis,mycobacterial cervical lymphadenitis : diagnosis . ,scrofula lymphadenitis : diagnosis : diagnostic : diagnose . edgy lymphadiosis
906,spinocerebellar ataxia : symptoms,spinocerebellar ataxia symptoms : symptoms .,spinocerebellar ataxia . symptoms include amputation of the cerebellum . sca : symptoms
907,choriocarcinoma : physiology,choriocarcinoma : physiology .,choriocarcinoma : physiology : causes . syncytiotrophoblasts : symptoms
908,encephalitis : symptoms,encephalitis symptoms : symptoms . a coma,"encephalitis . onset of fever, headache, confusion, and irritability . symptoms : diagnosis : treatments"
909,ventilator-associated lung injury : diagnosis,ventilator-associated lung injury : diagnosis . spokesman:,progressive ali/ards . diagnosis of vali may not be possible because of lack of sign or symptoms . asymptomatic diagnosis .
910,systemic lupus erythematosus : general,systemic lupus erythematosus .,"systemic lupus erythematosus . he says symptoms are mild to severe . symptoms include swollen joints, fatigue ."
911,glomerulonephritis : diagnosis,glomerulonephritis : diagnosis of . ,glomerulonephritis . hepatitis c : diagnosis . physiologic fibrosis : treatments
912,adrenocortical carcinoma : diagnosis,adrenocortical carcinoma asymptomatic .,adrenocortical adenoma . hepatitis c : diagnosis physiology : treatments
913,herpangina : diagnosis,herpangina asymptomatic . swollen s,a medical diagnosis|diagnosis : treatments . physiologic symptoms : diagnosis physiology : symptoms
914,diverticulitis : physiology,diverticulitis a physiology . a common ,right-sided diverticula . : physiology : causes of disease - causes . causes of illness : symptoms
915,sanfilippo syndrome : treatments,sanfilippo syndrome is a chronic disease characterized by ,lysosomal storage disease . mps-iii : treatments . sanfilippo syndrome : therapies
916,metacognition : general,metacognition : a general agnostic ,[{'summary_text': "metacognition . he says it's a way to understand cognition . metamemory : physiology"}]
917,chorioretinitis : symptoms,chorioretinitis symptoms : symptoms of .,"floater|floating black spots . symptoms include blurred vision, redness in the eye . sensitivity to light ."
918,intermediate uveitis : general,intermediate uveitis : a general . .,intermediate uveitis : physiology : symptoms : causes . physiologic syndrome : treatments
919,glioblastoma : general,glioblastoma is the most common disease in the world,"glioblastoma multiforme . he says symptoms are nonspecific . symptoms include headaches, personality changes ."
920,gastroschisis : causes,gastroschisis is the cause of a coma .,gastroschisis . causes : physiology . physiologie : causes . physiologic syndrome : cause
921,synovial chondromatosis : general,synovial chondromatosis : general .,"synovial chondromatosis . symptoms include bronchitis , abrasia , pneumonia ."
922,impulsivity : general,impulsivity : a definite answer to the question .,impulsiveness : physiology . physiologic impulsion : symptoms : causes . causes: causes
923,short rib–polydactyly syndrome : general,short rib–polydactyly syndrome . .,short rib–polydactyly syndrome . it is a family of four closely related dysplasias .
924,freemartin : physiology,[{'summary_text': "freemartin's physiology : physio ."}],"cattle twins : physiology : treatments physiologies – treatments – physiotherapy – interventions . experts: treatments, treatments"
925,childhood schizophrenia : prevention,childhood schizophrenia : prevention . click here for all the latest .,schizophrenic related disorder : prevention . adolescent schizophrenia . diagnosis : diagnosis
926,oral cancer : symptoms,oral cancer is a common condition in the u.s .,oral cancer : symptoms : causes . physiologic sclerosis : physiology : treatments physiotherapy : diagnosis
927,leydig cell tumour : general,leydig cell tumour is the most common tumour in the world .,leydig cell tumour . sex cord-stromal tumour : general . ovarian and testicular cancers
928,choroideremia : diagnosis,choroideremia is the most common condition in the world .,"choroideremia . diagnosis based on family history, symptoms and the characteristic appearance of the fundus . a variety of genetic testing techniques can be used ."
929,headache : general,what is headache : a spokesman for the state .,headache : physiology : symptoms : causes . physiologic syndrome : signs physiological diagnosis : treatments
930,ataxia : causes,ataxia : causes of disease . et al ,cerebellar ataxia . hexadecimal reversibility : physiology : causes . causes
931,hemolytic–uremic syndrome : causes,hemolytic–uremic syndrome is a chronic disease . .,hus stec-hus : physiology : diagnosis : treatments physiologic : diagnostic . physiologetic syndrome
932,dissociative identity disorder : diagnosis,dissociative identity disorder disorder : diagnosis . eli,dsm-iv codesdissociative disorders . diagnosis : diagnosis . causes: diagnosis diagnosis ; diagnosis physiology : treatments
933,eosinophilic granulomatosis with polyangiitis : symptoms,eosinophilic granulomatosis with poly,eosinophilic granulomatosis with polyangiitis . symptoms include gastrointestinal involvement : symptoms
934,cockayne syndrome : causes,cockayne syndrome is a chronic disorder that causes a stroke ,hyperoxia or excess oxygen . he says oxidative damage - causing dna - is a symptom .
935,mucositis : treatments,mucositis treatments : treatments . a s,oral mucositis : treatments physiology - treatments - physiologie - treatment : prevention : interventions
936,hypoglycemia : prevention,hypoglycemia is a common condition . it can cause,diabetic hypoglycemia : physiology : prevention : treatments : interventions : causes . experts: treatments
937,persistent vegetative state : general,persistent vegetative state : a system .,persistent vegetative state . diagnosis of traumatic brain injury : physiology : diagnosis : treatments : symptoms : causes
938,pierre robin sequence : causes,pierre robin sequence is the cause of a serious injury .,craniofacial deformities of prs : physiology : causes physiological : treatments . pediatrician fibrosis : symptoms
939,subacute combined degeneration of spinal cord : treatments,subacute combined degeneration of spinal cord : treatments . ,vitamin b12 deficiency . symptoms : treatments physiology . treatments : therapies . physiologic
940,hidradenitis suppurativa : treatments,hidradenitis suppurativa : treatments,hidradenitis suppurativa : treatments - treatments : treatment : therapies : interventions : prevention
941,hematoma : symptoms,hematoma symptoms : symptoms of a coma ,hematomas : physiology : causes . physiologic esophageal fibromyalgia : symptoms
942,tangier disease : diagnosis,tangier disease is the most common disease in the uk .,high-density lipoprotein deficiency . tangier disease : physiology : causes . causes
943,pectus carinatum : symptoms,pectus carinatum : symptoms . .,pectus carinatum : physiology : treatments physiologique : causes physiologic : symptoms : general
944,metabolic syndrome : general,metabolic syndrome : a sympathetic symptom .,metabolic syndrome . he says it relates to cardiovascular disease and diabetes mellitus type 2 diabetes . symptoms include hypertension and hypertension .
945,palmoplantar keratoderma : treatments,palmoplantar keratoderma : treatments . ,hand cream : treatments physiology . treatments : treatment physiotherapy . treatment : interventions physiologic . interventions : therapies
946,idiopathic hypersomnia : treatments,idiopathic hypersomnia - a chronic disease,idiopathic hypersomnia . he says treatments aimed at reducing emotional fatigue . treatments : treatments
947,pure alexia : causes,pure alexia is the cause of a sympathetic ,pure alexia : physiology . physiologic traumatic brain injury : causes . causes : symptoms
948,diffuse intrinsic pontine glioma : diagnosis,diffuse intrinsic pontine glioma : diagnosis . ,diffuse intrinsic pontine glioma . diagnosis and treatment : physiology : treatments - treatments : diagnostics
949,epispadias : causes,epispadiasis : causes of a coma,epispadias : physiology - physiologie : symptoms : causes . diagnosis : mechanisms
950,arthralgia : general,arthralgia is the most populous country in the world,arthralgia : physiological physiology . physiologic syndrome : symptoms : causes
951,juvenile myoclonic epilepsy : general,juvenile myoclonic epilepsy : a general .,juvenile myoclonic epilepsy . generalism of presumed genetic origin . hexadecimal sclerosis : symptoms
952,hallux varus : general,[{'summary_text': "hallux varus : what is hallux's history ."}],hallux varus deformity of the great toe joint . he says it is common in cultures where the population remains unshod .
953,thirst : physiology,thirst physiology : physiotherapy . elg,hypothalamus : physiology : regulation of thirst - regulation of bodily fluid - physiologie . symbiosis : causes
954,dissociative identity disorder : physiology,dissociative identity disorder disorder : physiology . .,neuroimaging : physiology : causes . symbiosis : diagnosis : treatments
955,lymphangitis : general,lymphangitis is a common disorder . it is common in,lymphangitis : physiology : causes physiological . physiologic lymphangiasis - causes
956,esophageal atresia : symptoms,esophageal atresia : symptoms ,tracheoesophageal atresia : physiology : treatments : treatment : interventions : diagnosis
957,urethral stricture : general,urethral stricture : a definite answer .,"urethral stricture . caused by injury, instrumentation, infection and non-infectious uretritis ."
958,thiamine deficiency : diagnosis,thiamine deficiency asymptomatic . .,erythrocyte transketolase deficiency . thiamine-related physiology : diagnosis : treatments
959,ovarian hyperstimulation syndrome : symptoms,ovarian hyperstimulation syndrome . symptoms are common .,severe ohss : symptoms . obstructive osia symbiosis . symptoms
960,spinal muscular atrophy : treatments,spinal muscular atrophy is a common cause . it is common to,spinal muscular atrophy : treatments physiology : treatment physiologies - treatments : interventions : diagnosis : causes physiologic
961,cat-scratch disease : treatments,cat-scratch disease is a chronic disease . it,csd in immunocompetent people with mild to moderate illness . treatment of all people with antimicrobial agents : treatments
962,fungemia : symptoms,fungemia symptoms : symptoms of a coma .,"flu-like symptoms . symptoms include pain, delirium, fatigue and fatigue . fungemia - general - may be associated with symptoms"
963,pair bond : general,pair bond : what is pair bond? click here for more information ,pair-bonding : physiology : causes : mechanisms physiological . physiologic syndrome : general
964,myelophthisic anemia : treatments,myelophthisic anemia is a chronic disease .,treatment of this disorder . involves treatment of the underlying cancer . a symptom of the disorder : treatment . treatment : treatments
965,autonomic dysreflexia : general,autonomic dysreflexia : a general .,autonomic dysreflexia : physiology : causes . physiologic ad : symptoms
966,amoebiasis : physiology,amoebiasis : physiology . .,amoebiasis . causes : physiology . physiologie : causes . symptoms : cause . cause
967,paraneoplastic syndrome : treatments,paraneoplastic syndrome is a chronic disease . .,paraneoplastic neurological disorder : treatments . physiology of somatosis : treatment physiologies
968,hernia : symptoms,hernia symptoms : symptoms of . . shen,an inguinal hernia : physiology . adipose bowel syndrome : symptoms
969,pancreatic pseudocyst : treatments,pancreatic pseudocyst : treatments . .,pancreatic pseudocyst . hepatitis c : treatments - treatments : prevention : interventions
970,coccidioidomycosis : treatments,coccidioidomycosis : treatments .,asymptomatic coccidioidomycosis . hexandroma : treatments - treatments
971,legionnaires' disease : symptoms,[{'summary_text': "legionnaires' disease . symptoms include a fever ."}],"[{'summary_text': ""legionnaires' disease . symptoms include fever, chills, cough . bronchial fever . diagnosis : diagnosis""}]"
972,bone tumor : treatments,bone tumor treatments : treatments . click here for more information .,osteoid osteomoma . he says rfa a symptom : treatments . hepatitis c : treatment
973,soft-tissue sarcoma : treatments,soft-tissue sarcoma - a treatment for,[{'summary_text': "soft-tissue sarcoma . he says it's important to obtain a margin free of tumor . cancer : treatments"}]
974,pulmonary edema : diagnosis,pulmonary edema - a condition that causes a,pulmonary edema . he says diagnosis can be attributed to pulmonary disease . histopathologies : diagnosis
975,intermediate uveitis : general,intermediate uveitis : a general . .,intermediate uveitis : physiology : symptoms : causes . physiologic syndrome : treatments
976,cerebral hypoxia : causes,cerebral hypoxia is the cause of a comorbidity ,cerebral hypoxia : physiological physiology : causes physiologic . physiologetic ischemic attack : symptoms
977,acromegaly : general,acromegaly is the most popular city in the world ,acromegaly : physiology : symptoms : causes  symbiosis : treatments
978,noonan syndrome with multiple lentigines : diagnosis,noonan syndrome with multiple lentigines : diagnosis . ,neurofibromatosis : physiology . diagnosis : diagnosis physiologique : treatments physiological . physiologic diagnosis
979,fournier gangrene : symptoms,fournier gangrene syndrome : symptoms . hepati,fournier gangrene . symptoms include swelling or sudden pain in the scrotum . bronchitis : symptoms
980,multiple endocrine neoplasia type 1 : general,multiple endocrine neoplasia type 1 ,multiple endocrine neoplasia type 1 . affects the ephemeral system . hepatitis c .
981,peer pressure : physiology,peer pressure physiology : physiotherapy . : general,medial prefrontal cortex : physiology : causes . physiologic neuropathy : symptoms : treatments : diagnosis
982,camurati–engelmann disease : treatments,camurati–engelmann disease : treatments for it .,camurati–engelmann disease . glucocorticosteroids are anti-inflammatory and immunosuppressive agents .
983,developmental psychology : general,developmental psychology : a symbiotic apopto,"developmental psychology . aims to explain how thinking, feeling, and behaviors change . research focuses on psychology : physiology ."
984,bibliotherapy : treatments,bibliotherapy treatments are available in the uk . click here for,"graphic novels : physiology : treatments : interventions : causes . socioeconomics, mental health issues : prevention"
985,empty sella syndrome : general,[{'summary_text': "empty sella syndrome : 'it's not a problem"}],empty sella syndrome (ess) is a condition in which the pituitary gland swells or becomes flat . the condition can be found in methos|diagnostic workup .
986,paraganglioma : general,paraganglioma : a general . .,paraganglioma : physiology : symptoms : causes . symbiosis : treatments
987,spermatocele : treatments,spermatocelea : treatments for spermo,small cysts . spermatocele : treatments . treatments : interventions . physiology : diagnosis
988,human penis : symptoms,human penis symptoms : symptoms of a coma .,paraphimosis : physiology : treatments : symptoms : causes physiologic : diagnosis : interventions : general
989,anthrax : general,anthrax is a common disorder in the u.s.,anthrax : physiology : symptoms : causes . socioeconomic factors : treatments : prevention - prevention : interventions
990,diabetic foot ulcer : general,diabetic foot ulcer : a symptom of a severe ,diabetic foot ulcer : physiology - treatments : treatments . physiologic syndrome : treatment physiological diagnosis
991,extensively drug-resistant tuberculosis : symptoms,extensively drug-resistant tuberculosis . symptoms .,"symptoms of xdr-tb . symptoms include a cough with thick, cloudy mucus . they include fever, chills, night sweats, fatigue and muscle weakness ."
992,fucosidosis : causes,fucosidosis : causes of disease . u.,fucosidosis . causes a faulty breakdown of sphingolipids and polysaccharides in the body .
993,macroglossia : general,macroglossia is a syria,macroglossia : physiology : treatments . autism spectrum disorder : symptoms : causes physiological diagnosis
994,diaphragmatic hernia : treatments,diaphragmatic hernia : treatments . ,a diaphragmatic hernia . treatment involves surgery . acute and acute . the somatosis .
995,plasmablastic lymphoma : treatments,plasmablastic lymphoma : treatments for the disease .,"chop, infusional epoch, hypercvad and codox-m/ivac . prognosis : treatments"
996,drive : general,what is drive : a brief overview of the u.s,"[{'summary_text': ""drive or the drive may refer to : i d . i'm a driver, i don't know if i have a drive .""}]"
997,lupus vulgaris : causes,lupus vulgaris causes a coma . ,lupus vulgaris . hepatitis c : causes . causes : physiology . cause
998,rickettsiaceae : general,rickettsiaceae . the u.s,rickettsiaceae : physiology : causes . eukaryotic cell mitochondrion : cause
999,ganglioneuroma : general,ganglioneuroma is the most populous country in the,ganglioneuroma : physiology : symptoms . symptoms : causes physiologic : treatments  physiotherapy
1000,emotional self-regulation : general,emotional self-regulation : a skepticism .,emotional self-regulation . general : physiology - general - physiologies : general physiologic : treatments : symptoms
1001,vaginitis : prevention,vaginitis is a common disease . it can cause,bacterial vaginosis . prevention of trichomoniasis : physiology : treatments - treatments : prevention
1002,lobomycosis : general,lobomycosis is the most common disease in the world,lobomycosis : physiology : causes . physiologic disease : cause physiologie : symptoms
1003,orthohantavirus : treatments,orthohantavirus is a disease characterized by a ,ribavirin : treatments physiology : treatment physiologies - treatments : interventions . hantavirus infection : therapies
1004,postpartum depression : prevention,postpartum depression is the prevention of a coma .,perinatal depression : interventions . corchrane review : intervention : prevention : treatments : treatment
1005,virulent newcastle disease : transmission,virulent newcastle disease : transmission . u.,ndv : spreads : transmission physiology : treatments . experts : prevention : interventions : diagnosis
1006,echinostoma : general,echinostoma is the most populous country in the,echinostoma . hepatitis c : physiology : causes . causes: causes
1007,duchenne muscular dystrophy : treatments,duchenne muscular dystrophy is a common condition . it,[{'summary_text': "adrenergic agonist no cure for dmd . eteplirsen's physiology : treatments"}]
1008,coarctation of the aorta : general,the aorta is coarctation . it is ,[{'summary_text': "coarctation of the aorta . he says it's a congenital condition . condition : general"}]
1009,neurosis : general,neurosis is a serious disease . a coma,neurosis . he says general psychiatric symptom . general : physiology . hertz: general
1010,cauda equina syndrome : symptoms,cauda equina syndrome : symptoms .,severe back pain : treatments physiology . physiologic syndrome : symptoms : diagnosis : treatment physiologies
1011,pulmonary atresia : symptoms,pulmonary atresia symptoms : symptoms . .,"pulmonary atresia with ventricular septal defect . symptoms include cyanosis, fatigue, shortness of breath ."
1012,neonatal sepsis : diagnosis,neonatal sepsis : diagnosis of . .,neonatal sepsis . hepatitis c : screening . hepatosis syndrome : diagnosis
1013,biliary dyskinesia : physiology,biliary dyskinesia : physiology ,biliary dyskinesia : physiology . physiologic syndrome : symptoms : causes
1014,collagenous colitis : symptoms,collagenous colitis . symptoms : symptoms . a ,"microscopic colitis . causes nocturnal diarrhea with greater than 10 bowel movements per day . symptoms include nausea, vomiting, diarrhea, diarrhea ."
1015,theileria : general,theileria is the capital of the u.s. .,[{'summary_text': "phylum apicomplexa . genus 'theileria equi' : causes . causes : physiology"}]
1016,rubella : symptoms,rubella symptoms : symptoms of symbiosis ,rubella : physiology : symptoms : causes . socio-economic socioeconomic residulation - symptoms
1017,pulmonary embolism : symptoms,pulmonary embolism symptoms : symptoms . bowel disease ,pulmonary embolism . symptoms include cyanosis . bronchial pulmonary disease . diagnosis : symptoms
1018,arteriovenous malformation : diagnosis,arteriovenous malformation : diagnosis of . a ,aortic stenosis . hepatitis c : diagnosis . physiologic aesthetical avms : diagnose
1019,mitral valve prolapse : diagnosis,mitral valve prolapse asymptomatic . symptom :,mitral valve prolapse . asymmetric coaptation : diagnostic . diagnosis : diagnos physiology : diagnosis . diagnostic : treatments
1020,primary immunodeficiency : general,primary immunodeficiency : a general . .,"primary immunodeficiency : symptoms : causes . causes : physiology, physiologies : treatments : general"
1021,baker's cyst : causes,[{'summary_text': "baker's cyst causes a recurrent . ."}],[{'summary_text': "baker's cyst : physiology : causes physiological . physiologic arthritis : symptoms : treatments physiologists : diagnosis"}]
1022,iridocorneal endothelial syndrome : treatments,iridocorneal endothelial syndrome :,penetrating karatoplasty and endothelial keratoplasty . glaucoma and elevated intraocular pressure : treatments
1023,cardiorenal syndrome : general,cardiorenal syndrome is the most common symptom in the world .,cardiorenal syndrome . general : physiology : general . general adolescent heart failure : treatments
1024,delayed puberty : diagnosis,delayed puberty a symptom : diagnosis . .,delayed puberty . diagnosis : treatments : diagnosis . physiologic sclerosis : diagnose physiology : diagnostic
1025,panophthalmitis : general,panophthalmitis is a disease characterized by a ,panophthalmitis . causes : causes . physiology of the eye : physiologies : symptoms
1026,parent : general,parent : what is parent . s .,a parent : physiology . physiologies : causes . sociology : symptoms : treatments
1027,nidovirales : general,nidovirales is a spokesman for the,[{'summary_text': "nidovirales . it includes the families ''coronaviridae'' and sars-cov ."}]
1028,sunburn : general,[{'summary_text': "sunburn : 'it's a good thing to do"}],sunburn : physiology : treatments physiotherapy : treatment physiologies - treatments . physiologic cancer : symptoms
1029,food addiction : symptoms,food addiction symptoms : symptoms of a coma . ,"compulsive overeating . symptoms include depression, depression . food addiction . causes : symptoms . adolescence"
1030,parapsoriasis : general,parapsoriasis is a common disorder . it,parapsoriasis : physiology : symptoms . socioeconomic status : causes . causes: causes; causes
1031,lung cancer : general,lung cancer : a systodontic .,lung cancer : physiology - general : general physiologie -general : général . symbiosis : causes of diagnosis
1032,lymphocytic choriomeningitis : causes,lymphocytic choriomeningitis :,lcm virus : physiology : treatments physiologique : causes physiological . physiologic syndrome : symptoms
1033,sjögren syndrome : treatments,sjögren syndrome is a chronic disease . it is,xerostomia : treatments physiology - treatments - physiotherapy . salagen syndrome : treatment
1034,granulomatous mastitis : causes,granulomatous mastitis : causes of .,granulomatous mastitis : physiology : causes . sputum syndrome : symptoms
1035,temporomandibular joint dysfunction : general,temporomandibular joint dysfunction : . .,"temporomandibular joint dysfunction . he says symptoms can become chronic and difficult to manage . but symptoms can be symptomatic, he writes ."
1036,takayasu's arteritis : treatments,[{'summary_text': "takayasu's arteritis :"}],takayasu’s arteritis : physiology : treatments . symbiosis : symptoms
1037,radiculopathy : general,radiculopathy is a common disease . it can cause ,radiculopathy : physiology : symptoms : causes . socio-economic status of spinal nerve disease : general
1038,rheumatic fever : physiology,rheumatic fever : physiology . .,rheumatic fever : physiology . physiologic fibrosis : causes physiological sclerosis
1039,aspiration pneumonia : causes,aspiration pneumonia is a common cause of death . .,aspiration pneumonia : physiology - Physiology : causes : symptoms : treatments : general : interventions : diagnosis
1040,hypokalemic periodic paralysis : diagnosis,hypokalemic periodic paralysis : diagnosis of . .,hypokalemic periodic paralysis . symptoms include adolescence . symbiosis : diagnosis
1041,ileus : causes,ileus is the most common disease in the u.s.,[{'summary_text': "ogilvie's syndrome : physiology : causes . bowel obstruction - causes obstruction"}]
1042,alpha-1 antitrypsin deficiency : general,alpha-1 antitrypsin deficiency : general,"alpha-1 antitrypsin deficiency . symptoms include bronchodilators, inhaled steroids ."
1043,necrolytic migratory erythema : symptoms,necrolytic migratory erythema ,glucagonoma : physiology : causes . hepatitis c : symptoms
1044,trump administration family separation policy : general,trump administration family separation policy . london gov,trump administration family separation policy . he says policy aims to deter illegal immigration . children separated from parents or guardians at mexican border .
