,real_target,QS-Prediction,AS-Prediction
196,vitelliform macular dystrophy : general,vitelliform macular dystrophy : a symptom,"vitelliform macular dystrophy . it is characterized by yellow (or orange), round structures similar to yolk . the macula is responsible for sharp central vision ."
197,ventilator-associated lung injury : prevention,ventilator-associated lung injury : prevention . u.s,cyclic atelectasis : physiology - prevention . alveolar overdistension : prevention
198,intermenstrual bleeding : causes,intermenstrual bleeding : causes of a . .,cervicitis endometritis adenomyosis . ovarian syndrome : physiology
199,scleritis : symptoms,scleritis is a chronic disease characterized by a,scleritis . symptoms include redness of the sclera . conjunctivitis : symptoms
200,café au lait spot : general,café au lait spot is a great place to visit . ,[{'summary_text': "'café au lait'' spots . they are caused by pigment-producing melanocytes in the epidermis of the skin ."}]
201,hematospermia : general,hematospermia is the most common disease in the,hematospermia . hepatitis c : physiology : general physiologies - general
202,neurasthenia : general,neurasthenia is a syphilia .,neurasthenia : diagnoses : diagnostic . psychiatric disorder : diagnosis : treatments physiology - diagnosis
203,lyme disease : symptoms,lyme disease symptoms : symptoms . sympathetic,lyme disease : physiology - symptoms : symptoms physiologic : causes . socio-economic factors
204,dental fluorosis : diagnosis,dental fluorosis : diagnosis of a serious condition .,dental fluorosis : diagnosis physiology : diagnostics : treatments : diagnoses . pediatrician ephemeral fluoride : symptoms
205,biological psychiatry : treatments,biological psychiatry . treatments are available in the uk,mental disorders : treatments physiology - treatments - physiologies - treatment . physiologic syndrome : therapies
206,ulcerative colitis : physiology,ulcerative colitis : physiology . elg,ulcerative colitis : physiology : causes . sulfate-reducing fatty acid : mechanisms
207,dissociative identity disorder : treatments,dissociative identity disorder is a disorder characterized by a ,"did treatment : treatments : treatment . experts: treatments can be asymptomatic . treatments can vary based on diagnosis, diagnosis, treatment physiology . authors: treatments"
208,frontotemporal lobar degeneration : diagnosis,frontotemporal lobar degeneration : diagnosis . .,frontotemporal lobar degeneration : physiology : diagnosis - diagnosis : treatments : diagnostic : interventions : responses
209,hypoalbuminemia : causes,hypoalbuminemia is a common cause . a symptom,hypoalbuminemia : physiological physiology : causes . physiologic fibromyeloma : symptoms
210,autosomal dominant polycystic kidney disease : diagnosis,autosomal dominant polycystic kidney disease : diagnosis ,intracranial aneurysm . diagnosis of adpkd is a process of diagnosis . he says diagnosis can be a diagnostic tool .
211,mucinous carcinoma : general,mucinous carcinoma is a common disease . it is ,mucinous carcinoma . general : general . general adolescent lymphoma . diagnosis
212,urachal cyst : diagnosis,urachal cyst is the most common disease in the u.s,urachal cysts . symbiosis - diagnosis - physiology . diagnosis : diagnosis / diagnosis
213,methemoglobinemia : physiology,methemoglobinemia : physiology . .,tetrameric hemoglobin . hepatitis c – physiology : physiologie .
214,post-concussion syndrome : treatments,post-concussion syndrome : treatments for the disease .,post-concussion syndrome . symptoms : treatments physiology - treatments . experts - treatment - interventions in general
215,hypervitaminosis a : physiology,hypervitaminosis a : physiology .,preformed vitamin a : absorption & storage . hepatitis c : physiology : symptoms
216,nerve compression syndrome : treatments,nerve compression syndrome is a chronic disease . it is the most common,neuropathy : treatments physiology : treatment . physiologic emphysicist syndrome - treatments
217,buruli ulcer : prevention,buruli ulcer : prevention . u.s :,bacillus calmette-guérin . bacterium ulcerans - a bacterial - may . offer temporary protection .
218,dream : general,dream : what is dream . click here for more information .,dreams : physiology : causes physiologic : treatments . sociology: causes of psychiatric relapse : symptoms
219,burkholderia : general,[{'summary_text': "burkholderia : 'i'm not a"}],genus burkholderia . he says it is a symptom of melioidosis . disease : causes
220,extensively drug-resistant tuberculosis : treatments,extensively drug-resistant tuberculosis : treatments .,xdr-tb disease : treatments - treatment - physiology - treatments : treatment : therapies  socio-economic factors
221,goitre : general,goitre : a symbiotic sex,goitre . er|or goiter : physiology . a thyroid deficiency : causes
222,prediabetes : general,prediabetes : u.s. eu ,diabetes mellitus : diagnosis physiology : treatments physiologique : diagnostic physiologies : symptoms : general
223,incisional hernia : causes,incisional hernia : causes of . .,incisional hernias : physiology : causes physiologic : symptoms . symptoms: causes of illness – causes
224,dysgeusia : general,dysgeusia : symbiosis ,dysgeusia : physiology : symptoms : causes . socio-economic status of dysgeuda - symptoms
225,angelman syndrome : treatments,angelman syndrome is a chronic disease . it is thought to be,angelman syndrome : treatments physiology . physiologic symbiosis . symptoms : prevention
226,animal communication : general,animal communication : a guide to the world . : general,animal communication : generalism : physiology . physiological biology - general : diagnosis : treatments
227,mesothelioma : prevention,mesothelioma is a rare disease .,mesothelioma : prevents physiology . experts say prevention is a good idea . expert says prevention can be a problem .
228,wolfram syndrome : general,wolfram syndrome is a chronic disease characterized by a ,wolfram syndrome . causes childhood-onset diabetes mellitus . affects the central nervous system (especially the brainstem)
229,tooth ankylosis : diagnosis,tooth ankylosis is a rare disease . it can cause,tooth ankylosis : diagnostic physiology : diagnosis . physiologic fibromyalgia : diagnoses
230,itch : symptoms,itch symptoms : symptoms of a comorbid .,itch : physiology : treatments physiologic : interventions . socio-economic stress : responses : symptoms
231,ranula : treatments,ranula is a disease characterized by sclerosis .,ranulae . re-establish a connection with the oral cavity . the asymptomatic sublingual gland .
232,near-sightedness : causes,near-sightedness is the cause of a coma .,myopia : physiology - causes : causes physiological : treatments . socioeconomic ephemeral dysplasia . causes
233,hemolytic anemia : general,hemolytic anemia : systoma .,hemolytic anemia . he says general hepatitis c : physiology . general spleen : symptoms
234,trachoma : causes,trachoma : causes of a coma .,trachoma : physiology : causes . physiologic syndrome - causes - physiological diagnosis
235,giant-cell arteritis : symptoms,giant-cell arteritis : symptoms of . .,giant-cell arteritis . symptoms include bruits fever headache . aortic aneurysm : diagnosis
236,food intolerance : causes,food intolerance is a common cause . it can lead to,food intolerance : physiology - symptoms : causes physiologic : symptoms . socio-economic status - causes
237,uterine perforation : general,uterine perforation : a general . .,uterine perforation : physiology : causes physiological . physiologic complication : symptoms
238,sleep deprivation : general,sleep deprivation : a general symptom . ,sleep deprivation : physiology : symptoms : causes . socioeconomics : treatments: treatments
239,mastoiditis : treatments,mastoiditis treatments : treatments . click here for,mastoiditis in developed countries . eustachian tube infection : treatments : treatment : therapies . expert expert . expert: treatments
240,hyperemesis gravidarum : general,hyperemesis gravidarum : a . ,"hyperemesis gravidarum . symptoms include nausea, vomiting, weight loss and dehydration . they include thyrotoxicosis, overactive thyroid ."
241,hypothermia : causes,hypothermia is a chronic disease . it causes a,hypothermiaage jpg|thumb|left|right|rightst image : physiology .
242,dysplastic nevus syndrome : diagnosis,dysplastic nevus syndrome : diagnosis . u.s,melanocytic nevi : definition fammm - definition - physiology . atypical melonoma : diagnosis
243,balanitis : symptoms,balanitis symptoms : symptoms of a coma ,balanitis . symptoms can include: physiology . physiologic syndrome – symptoms – physiotherapy .
244,paraphilia : general,paraphilia is a syria .,paraphilia : physiology : causes . physiologic paraphilis : treatments : general
245,sleep paralysis : general,sleep paralysis : a common symptom : sleep .,rem sleep paralysis : physiology : general . physiologic paralysis syndrome : symptoms : causes
246,taeniasis : transmission,taeniasis : transmission . u.s,taeniasis . hepatitis c : physiology : treatments physiologique . treatments
247,idiopathic orbital inflammatory disease : physiology,idiopathic orbital inflammatory disease : physiology,idiopathic orbital inflammation : physiology - diagnosis : causes . physiologic ioi : symptoms
248,gene duplication : general,gene duplication : a systicism .,gene duplication (or chromosomal duplication) is a major mechanism through which new genetic material is generated during molecular evolution . it can be defined as any duplication of a region of dna .
249,near-sightedness : prevention,near-sightedness is the prevention of sightedness . .,bifocal and progressive lenses . scleral reinforcement surgery : physiology . diagnosis : prevention : treatments
250,right ventricular hypertrophy : physiology,right ventricular hypertrophy : physiology . .,right ventricular hypertrophy : physiology : causes : mechanisms physiologique . physiological : pathways
251,dandy–walker malformation : symptoms,dandy–walker malformation . symptoms are common .,dandy–walker variant . he says dwm asymptomatic syringomyelia . neuropathy : symptoms
252,donohue syndrome : diagnosis,donohue syndrome is a rare disease . .,donohue syndrome . diagnosis : diagnosis . epidemiology : treatments : diagnoses : diagnostics . consultant: diagnosis
253,refeeding syndrome : treatments,refeeding syndrome is a chronic disease . it is ,critically ill refeeding syndrome : treatments physiology : treatment physiologie . rebirth : diagnosis
254,mitral insufficiency : physiology,mitral insufficiency : physiology and physio,acute phase acute mr . causes a sudden volume overload of both the left atrium and the left ventricle . cause : physiology
255,mucormycosis : general,mucormycosis is the most common disease in the world ,mucormycosis . he says disease characterized by hyphema . disease : causes . causes
256,necrotizing enterocolitis : diagnosis,necrotizing enterocolitis : diagnosis of . .,[{'summary_text': "bell's stage 2 (definite disease) diagnosis : diagnostic physiology . experts say diagnosis is a symptomatic symptom ."}]
257,pelvic inflammatory disease : prevention,pelvic inflammatory disease : prevention . u.s.,pelvic inflammatory disease . sex partners may have a sexually transmitted infection . sexual monogamia : prevention
258,kwashiorkor : causes,[{'summary_text': "kwashiorkor's causes : causes of ."}],kwashiorkor : physiology : causes . physiologic etiology : symptoms
259,picornavirus : general,picornavirus is a virus that causes a complication,picornaviridae : physiology : general physiologies - general . hepatitis c : causes
260,high-grade prostatic intraepithelial neoplasia : diagnosis,high-grade prostatic intraepithelial neop,hgpin . a pathologist . can diagnose it . it is a symptom of a brain tumour .
261,cholecystitis : symptoms,cholecystitis : symptoms . .,cholecystitis . symptoms include biliary colic . symptomatic recurrent : symptoms
262,hereditary elliptocytosis : physiology,hereditary elliptocytosis : physiology,hereditary elliptocytosis . erythrocytes deformed by passing through capillary : physiology
263,lateral medullary syndrome : causes,lateral medullary syndrome : causes of . .,cerebellum artery : physiology : causes physiologic . physiological esophageal vascular disease : symptoms
264,cholecystitis : diagnosis,cholecystitis is a chronic disease .,chronic cholecystitis : diagnose . adolescent lymphomyelitis : diagnosis
265,tangier disease : general,tangier disease : a symbiosis,tangier disease or hypoalphalipoproteinemia . symptoms include severe reduction in the amount of high density lipoprotein .
266,migraine : physiology,migraine physiology : physiotherapy . elg,migraine : physiology - physiologies : causes : symptoms : mechanisms physiologique . sociology : treatments
267,cellulitis : symptoms,cellulitis is a common condition . it can cause a,cellulitis . symptoms symptoms : symptoms . diagnosis : diagnosis . treatments : diagnoses . dermatologists
268,space adaptation syndrome : causes,space adaptation syndrome causes a disproportionate number of people to develop .,motion sickness : physiology : treatments . physiologic syndrome : treatment physiological esophageal arthritis : symptoms
269,criminal psychology : general,criminal psychology is the most common practice in the uk . .,criminal psychology . general : physiology . physiologie : general . parasystrophy . physiologic psychiatry .
270,biotinidase deficiency : symptoms,biotinidase deficiency : symptoms .,"biotinidase deficiency . symptoms include hypotonia, muscle/limb weakness . alopecia : symptoms"
271,x-linked intellectual disability : general,x-linked intellectual disability is a common disorder . it is,x-linked intellectual disability : physiology : general physiologies - general . syndroma : symptoms
272,hypothalamus : general,hypothalamus : systoma :,hypothalamus : physiology - Physiology : general . sociology and neuroanatomy - general
273,diplopia : diagnosis,diplopia is a common disorder . it can cause a,diplopia : diagnoses : diagnosis : treatments . experts : diagnosing ephemera : diagnostic
274,schizoid personality disorder : treatments,schizoid personality disorder : treatments for . .,schizoid personality disorder . he says treatment can be a cure for depression . psychoanalytic therapy : treatments
275,megalencephaly : general,megalencephaly : a syringe ,megalencephaly (or abbreviated meg) is a growth development disorder . it is characterized by a brain with an average weight of 2.5 standard deviation .
276,rumination syndrome : treatments,rumination syndrome is a chronic disease characterized by a,rumination : treatments physiology . physiologic aversion syndrome : treatment physiological : prevention
277,mycoplasma : physiology,mycoplasma physiology : physio . .,mycoplasma genitalium . causes of cervicitis : physiology . hepatosis
278,mesenteric ischemia : treatments,mesenteric ischemia is a chronic disease . it,non-occlusive mesenteric ischemia . hepatitis c - a sclerosis : treatments
279,proctitis : causes,proctitis : causes of a coma .,radiation proctitis . causes include irradiation or sexually transmitted infection . cause of sex with partner : causes
280,eclampsia : physiology,eclampsia : physiology and physio,eclampsia : physiology : causes . symbiosis . physiologic
281,seborrheic keratosis : treatments,seborrheic keratosis : treatments ,"seborrheic keratosis . treatments are not necessary, except for aesthetic reasons . treatment is not necessary ."
282,shwachman–diamond syndrome : physiology,shwachman–diamond syndrome : physiology ,eukaryote : physiology : causes : mechanisms physiological . sbds gene : general
283,cadaver : general,cadaver : a guide to the u.s.,cadaver . a general general general . general adolescence : physiology and physiologie .
284,voyeurism : general,voyeurism is the most common disease in the world ,[{'summary_text': "voyeurism . he says it's a general general . general heaviness : physiology"}]
285,lambert–eaton myasthenic syndrome : treatments,lambert–eaton myasthenic syndrome : treatments,"3,4-diaminopyridine . physiology : treatments : treatment . ephemeral symbiosis"
286,paraphilia : diagnosis,paraphilia : diagnosis and diagnosis . u.s,sexual fetishism : diagnoses : diagnosis : treatments . socio-economic psychiatric syndrome : symptoms
287,tracheoesophageal fistula : treatments,tracheoesophageal fistula :,anastomosis : surgical resection . physiology : treatments . treatments : diagnosis .physiology
288,microvascular angina : causes,microvascular angina : causes of a coma .,microvascular angina : physiology - causes physiologic : causes : symptoms : treatments : conditions : general
289,peptic ulcer disease : treatments,peptic ulcer disease is a common disease . it can cause,stent thrombosis : treatments physiology : treatment physiologies – treatments – treatment – physiotherapy – interventions – therapies
290,histoplasmosis : prevention,histoplasmosis is the most common disease in the world ,histoplasmosis : prevention & prevention : treatments . experts: prevention of infection - prevention – prevention
291,postpericardiotomy syndrome : diagnosis,postpericardiotomy syndrome : diagnosis of . .,pericardial friction rub . bronchitis : physiology . symptoms : symptoms . diagnosis : treatments
292,nasal congestion : treatments,nasal congestion treatments : treatments for a coma . ,alpha-adrenergic agonists . they relieve congestion by constricting blood vessels in the nasal cavity . hay fever : treatments
293,narcotherapy : general,narcotherapy is the most popular treatment in the world .,narcotherapy originating in china . it disables the body or one part temporarily by drugs or acupuncture . the treatment is usually used in surgical operations .
294,heart failure : prevention,heart failure is the prevention of a comorbid disorder .,"heart failure : physiology : prevention : treatments . socioeconomics, social sciences : interventions - treatments - prevention"
295,phimosis : treatments,phimosis . treatments are available in the uk .,physiologic phimosis : treatments physiology . san francisco syndrome : treatment physiological diagnosis
296,lymphedema : physiology,lymphedema : physiology . et al,lymph : physiology : treatments physiologies - treatments - Physiology . sociology: treatments
297,gunshot wound : prevention,gunshot wound : prevention . u.s. embassy,criminal background check . helen saunders: prevention . heilen schneier: prevention
298,lamellar ichthyosis : treatments,lamellar ichthyosis : treatments ,ichthyosis . prevention of overheating eye drops . physiotherapy : treatments .
299,hypoaldosteronism : diagnosis,hypoaldosteronism : diagnosis of . .,hypoaldosteronism . diagnosis may be mediated by adrenocortical adenoma .
300,sarcoma : physiology,sarcoma physiology : physiotherapy .,dermatofibrosarcoma : physiology : causes physiological : mechanisms . ewing savage syndrome
301,cutaneous leishmaniasis : general,cutaneous leishmaniasis : a symptom .,cutaneous leishmaniasis . it is caused by a trypanosomatid|single-celled parasite .
302,arteriolosclerosis : general,arteriolosclerosis is the most common disease in the u.s,hyaline arteriolosclerosis . hepatitis c : physiology . physiologic sclerosis
303,hepatopulmonary syndrome : general,hepatopulmonary syndrome : asymptomatic . ,hepatopulmonary syndrome . causes of shortness of breath and hypoxemia . cause of death : causes . symptoms
304,thyroglossal cyst : general,thyroglossal cyst : a symptom ,thyroglossal cyst . hepatitis c : physiology : general physiologies - general
305,hepatitis : symptoms,hepatitis symptoms : symptoms of a fever .,"acute viral hepatitis . symptoms include fatigue, nausea, vomiting, poor appetite . hepatocellular carcinoma : symptoms"
306,pulmonary hypertension : symptoms,pulmonary hypertension : symptoms . a coma ,pulmonary hypertension . symptoms include shortness of breath while lying flat or sleeping . signs include a right atrial enlargement .
307,aniseikonia : causes,aniseikonia is a chronic disease . .,retinal image size : physiology : causes . symbiosis : treatments : diagnosis
308,susac's syndrome : general,[{'summary_text': "susac's syndrome is the most common symptom in the world"}],[{'summary_text': "susac's syndrome . causes of encephalopathy : physiology . symptoms : symptoms . sociology"}]
309,depression : general,depression : a sympathetic . .,depression may refer to a general symptom . symptoms may be referred to as symptomatic . asymptomatic symptoms : symptoms
310,aorta : general,aorta is a major city in the world .,aortic bifurcation . hepatitis c : physiology . diagnosis : causes . causes
311,intrauterine growth restriction : treatments,intrauterine growth restriction : treatments for the disease . .,intrauterine growth restriction : treatments . parents whose fetus is diagnosed with iugr disease : prevention
312,epileptic seizure : diagnosis,epileptic seizure : diagnosis of a symptom ,epileptic seizure : diagnose physiology . acute symptomatic seizures : diagnosis : treatments
313,hyperglycemia : diagnosis,hyperglycemia : diagnosis of a symptom .,hyperglycemia : treatments - treatments : diagnosis : diagnostic : prevention : interventions : san francisco
314,degenerative disc disease : diagnosis,degenerative disc disease degenerative disease : diagnosis . - ,"[{'summary_text': ""degenerative disc disease . diagnosis consists of a diagnosis involving a patient's individual medical history . x-ray reveals weakness, tenderness or poor range of motion .""}]"
315,myelodysplastic syndrome : diagnosis,myelodysplastic syndrome is a chronic disease . ,eosinophilic cytopenia : diagnostic physiology : diagnosis . physiologic sclerosis : treatments
316,cognitive dissonance : general,cognitive dissonance : a common symptom . .,cognitive dissonance : physiology : causes : treatments physiologic : symptoms : mechanisms physiologique : responses :
317,prader–willi syndrome : diagnosis,prader–willi syndrome : diagnosis of . .,pws syndrome : diagnose physiology - diagnosis : diagnosis . edward sandra stefani : treatments
318,congenital afibrinogenemia : treatments,congenital afibrinogenemia : treatments ,transfusions of cryoprecipitate or blood plasma . symptoms of the disorder are not known . they are common in u.s.
319,hyperuricemia : general,hyperuricemia : a common symptom . .,hyperuricemia : physiology - physiologie : causes . physiologic syndrome : symptoms
320,pseudolymphoma : general,pseudolymphoma : a sympathetic ,"pseudolymphoma . it resembles cutaneous lymphoma histologically, clinically, or both ."
321,suicidal ideation : prevention,suicidal ideation is the prevention of a serious injury ,suicidal ideation : prevention - prevention : treatments - prévention : interventions . experts: treatments
322,mucormycosis : diagnosis,mucormycosis : diagnosis of . bowel disease,mucormycosis : diagnosis physiology : diagnostic physiologic : treatments : diagnoses : symptoms : causes
323,raynaud syndrome : symptoms,raynaud syndrome . symptoms are not uncommon . ,[{'summary_text': "raynaud's . symptoms include nipples . bronchitis : causes . causes"}]
324,rett syndrome : diagnosis,rett syndrome is a rare disease . it can cause,rett syndrome : diagnose physiology : diagnosis . scoliosis and kyphosis diagnosis
325,wolff–parkinson–white syndrome : diagnosis,wolff–parkinson–white syndrome : diagnosis .,wolff–parkinson–white syndrome . symptoms include slurred upstroke in the qrs complex . diagnosis
326,factor vii : general,factor vii : a san francisco .,factor viia : physiology : causes physiologic . physiological esophageal hemophilia 
327,systemic lupus erythematosus : physiology,systemic lupus erythematosus :,lupus erythematosus : physiology : causes physiological : treatments . experts: symbiotics
328,urogenital tuberculosis : general,urogenital tuberculosis : a ,urogenital tuberculosis . affects the u.s. and uruguay .
329,hypoproteinemia : diagnosis,hypoproteinemia is the diagnosis of a serious illness . .,hypoproteinemia : physiology : causes . sanitis : symptoms : treatments : diagnosis
330,unverricht–lundborg disease : physiology,unverricht–lundborg disease : physiology .,unverricht–lundborg disease . he says a lack of cystatin b causes a decrease in excitability .
331,intestinal pseudo-obstruction : treatments,intestinal pseudo-obstruction : treatments for the disease .,intestinal pseudo-obstruction : treatments - treatments : treatment : therapies : interventions : prevention : diagnosis . experts: treatments
332,carcinoma : general,carcinoma : a sympathetic sclerosis .,carcinoma : physiology : symptoms : causes . sociology: treatments physiologic : treatments
333,fowlpox : treatments,fowlpox : treatments for the disease . ,pigeonpox : treatments : prevention . experts: treatments to prevent invasive bowel disease . treatments to treat the virus
334,diffuse esophageal spasm : symptoms,diffuse esophageal spasm : symptoms .,"des manifests : symptoms : causes : physiology - causes . sociology, sociology : treatments"
335,cardiogenic shock : diagnosis,cardiogenic shock : diagnosis of a comorbid .,cardiac arrhythmia|abnormal heart rhythms . ecg|electrocardiogram : diagnosis : diagnostic
336,diaphragmatic rupture : symptoms,diaphragmatic rupture : symptoms of a . ,breath sounds on the side of the rupture may be diminished . respiratory distress may be present . the chest or abdomen may be painful .
337,retinitis pigmentosa : physiology,retinitis pigmentosa : physiology ,retinal molecular pathway defect : physiology . elongated rhodopsin-induced chromophore : causes
338,periventricular leukomalacia : general,periventricular leukomalacia : symptomatic ,necrosis : physiologic physiology . symbiosis . hepatitis c .
339,atypical hemolytic uremic syndrome : symptoms,atypical hemolytic uremic syndrome . symptoms of a,complement-mediated tma . symptoms include abdominal pain and fatigue . comorbidities : symptoms : causes . causes
340,color vision : general,color vision : a brief overview of the state of the u,color vision in animals : physiology - physiologie : general . hepatitis c : symptoms : causes
341,attention deficit hyperactivity disorder : general,attention deficit hyperactivity disorder : a sympathetic disorder,"attention deficit hyperactivity disorder . he says symptoms include inattention, hyperactivity and impulsivity . they say symptoms can cause adversity : diagnosis"
342,visna-maedi virus : transmission,visna-maedi virus : transmission .,endemically infected sheep : transmission . fecal-oral transmission : physiology : diagnosis
343,peripheral neuropathy : treatments,peripheral neuropathy . a symptom asymptomatic .,neuropathic pain . he says treatments ranging from diabetes mellitus to prediabetes . neuropathy : treatments
344,odontogenic cyst : general,odontogenic cyst : a symptom of a,odontogenic cyst : physiology : causes physiological . physiologic syndrome : symptoms
345,acute necrotizing ulcerative gingivitis : symptoms,acute necrotizing ulcerative gingivitis : symptoms .,"interdental papillae . symptoms include halitosis, fever and cervical lymph node enlargement ."
346,sertoli cell-only syndrome : treatments,sertoli cell-only syndrome is a chronic disease . ,sertoli cell-only syndrome : physiology : treatments physiologique : treatment physiologies . azoospermia : diagnosis
347,subacute sclerosing panencephalitis : diagnosis,subacute sclerosing panencephalitis : diagnosis,merck manual of diagnosis and therapy|merck . sspe suspected in patients with neuromuscular irritability .
348,obliterative bronchiolitis : prevention,obliterative bronchiolitis : prevention .,obliterative bronchiolitis . hepatitis c - i - is a common symptom .
349,dermatitis herpetiformis : symptoms,dermatitis herpetiformis symptoms : symptoms .,"dermatitis herpetiformis . symptoms include itchy, chronic vesicular eruption ."
350,glioma : general,glioma is the most populous country in the world ,glioma . neoplasm|tumor - general . general : general physiology .
351,tardive dyskinesia : general,tardive dyskinesia : a symptom .,tardive dyskinesia : physiology . physiologic disorder : symptoms : causes physiologists
352,essential hypertension : physiology,essential hypertension : physiology . click here for more information,essential hypertension : physiology : causes : treatments : symptoms : diagnosis  diagnosis: treatments: treatments
353,dentin dysplasia : treatments,dentin dysplasia : treatments for the condition .,tooth deterioration : treatments - treatments : interventions . experts : treatment physiology of tooth disease : therapies
354,frostbite : prevention,frostbite is a common disease . it is common to,the wilderness medical society recommends covering the skin and scalp . supplemental oxygen may also be of use at high elevations . frostbite : prevention
355,idiopathic intracranial hypertension : treatments,idiopathic intracranial hypertension : treatments .,lumbar puncture : cure . iih : treatments physiology : treatment : prevention
356,spontaneous remission : general,spontaneous remission : a symptom of the brain .,spontane remission : physiology : treatments . physiologic relapse : cure - treatments
357,vaginitis : general,vaginitis is the most common disease in the world .,vaginitis : causes physiology : symptoms : treatments : diagnosis  physiologic sclerosis : general
358,tennis elbow : prevention,tennis elbow : prevention . click here for all the latest tennis news,lateral epicondylitis : physiology : prevention - prevention . expert: prevention of tennis elbow injury : treatments
359,whiplash (medicine) : symptoms,whiplash (medicine) symptoms : symptoms of a coma,"whiplash trauma . symptoms include aching to the neck and back . referred pain to the shoulders, sensory disturbance to the arms and legs ."
360,startle response : general,startle response : a resurgence in the u,startle response : physiology : causes physiologic : mechanisms . physiological psychiatric syndrome : symptoms
361,cri du chat syndrome : general,cri du chat syndrome is the most common disorder in the world .,cri du chat syndrome . causes chromosoma . symptoms include a sex-induced apoptosis .
362,renovascular hypertension : symptoms,renovascular hypertension . symptoms are common in the u,renovascular hypertension . symptoms include high blood pressure (early age) kidney dysfunction . pulmonary edema .
363,lecithin cholesterol acyltransferase deficiency : diagnosis,lecithin cholesterol acyltransferase defic,familial lcat deficiency . hepatitis c - a physiology : diagnosis : treatments
364,ototoxicity : symptoms,ototoxicity is a common disorder in the u.s,ototoxicity : physiology : symptoms . physiologic syndrome : treatments : diagnosis: treatments
365,papillary thyroid cancer : general,papillary thyroid cancer is a cancer characterized by a ,papillary thyroid cancer : physiology : causes . physiologic disease : treatments : symptoms : diagnosis
366,sleep : physiology,sleep physiology : a symbiosis,sleep inertia : physiology : treatments . physiologic relapse : symptoms : causes
367,huntington's disease : diagnosis,[{'summary_text': "huntington's disease is a rare disorder . it can cause"}],[{'summary_text': "huntington's disease-like syndrome : diagnosis physiology : treatments physiologique : diagnostic physiologies : symptoms : causes"}]
368,lipid pneumonia : symptoms,lipid pneumonia . symptoms are common in u.s. ,"the pneumonia . causes a foreign body reaction . symptoms include cough, dyspnea, and fever . a coma ."
369,ellis–van creveld syndrome : symptoms,ellis–van creveld syndrome . symptoms are common ,post-axial polydactyly congenital heart defect . hepatic dysplasia : causes . causes
370,hyperandrogenism : diagnosis,hyperandrogenism is the diagnosis of a symptom .,"hyperandrogenism . symptoms include age at thelarche, adrenarche and menarche . diagnosis"
371,bernard–soulier syndrome : treatments,bernard–soulier syndrome : treatments . ,heterozygote : physiology : treatments . vascular endothelial vascular injury : prevention
372,camurati–engelmann disease : diagnosis,camurati–engelmann disease : diagnosis and diagnosis .,camurati-engelmann disease : physiology : causes . symbiosis : symptoms
373,endometriosis : treatments,endometriosis treatment : treatments . a ,endometriosis : treatments - treatments : interventions : treatment : prevention : prévention  experts: treatments: treatments
374,diffuse idiopathic skeletal hyperostosis : treatments,diffuse idiopathic skeletal hyperostosis :,symptoms of pain and stiffness : treatments . symptomatic dish . treatments - treatments for inflammatory dish - physiology
375,neonatal jaundice : general,[{'summary_text': "neonatal jaundice : 'stupid'"}],"neonatal jaundice . symptoms include excess sleepiness, kernicterus . physiologic symptoms : treatments . consultant: treatments"
376,mastocytoma : symptoms,mastocytoma symptoms : symptoms . elg,mastocytosis : physiology : symptoms : causes . socioeconomic status : signs : treatments : diagnosis
377,septic arthritis : treatments,septic arthritis treatments : treatments . u.s.,aeruginosa : treatments : treatment : prevention : interventions - interventions : intervention : diagnosis . septic arthritis
378,substance dependence : general,substance dependence : systicism . u.,substance dependence : general . heaviness syndrome : diagnoses - diagnosis : diagnosis - diagnose : treatments
379,dermatitis : general,dermatitis : a sympathetic .,dermatitis . general general general . physiology : physiologies : treatments physiologiques – treatments – physiologic
380,pyloric stenosis : symptoms,pyloric stenosis : symptoms .,gastroesophageal reflux . symptoms include vomiting . bowel syndrome . syndrome : symptoms : diagnosis
381,sjögren–larsson syndrome : causes,sjögren–larsson syndrome : causes ,fatty aldehyde dehydrogenase deficiency . chromosome 17 : physiology
382,interoception : treatments,interoception is a treatment based on the findings of a,interoceptive disorder : treatments . physiological reversal of adolescent depression : treatment
383,sphincter of oddi dysfunction : general,oddi dysfunction : sphincter of oddi .,sphincter of oddi dysfunction : physiology : symptoms : causes . socioeconomic status : treatments
384,alien hand syndrome : causes,alien hand syndrome is a symptom of a brain injury .,alien hand syndrome : physiology - physiologie : causes : mechanisms physiologique . physiologic reversal : symptoms
385,fifth disease : treatments,fifth disease is a chronic disease . it is referred to as,antipyretics : treatments . hepatitis c . hepatosis : treatment
386,keloid : causes,keloid : causes of a sympathetic disorder,keloid scarring : physiology - causes : causes physiologic . ephemeral syndrome : symptoms
387,jejunum : general,[{'summary_text': "jejunum : what is the world's most important topic "}],jejunum . is a small intestine . the lining is specialized for absorption by enterocytes of small nutrient molecules .
388,metatarsalgia : diagnosis,metatarsalgia : diagnosis of . .,[{'summary_text': "diagnosis varies from diagnosis to diagnosis . diagnosis is often done by patient self report . a diagnosis can be attributed to a patient's symptoms ."}]
389,hemianopsia : general,hemianopsia is the most populous country in the,"hemianopsia, or hemianopia . hexadecimal hemosis : general"
390,overweight : causes,overweight are the causes . : if you are looking for ,overweight . causes include diabetes mellitus type 1 diabetes . symptoms of diabetes : causes physiology . diagnosis : symptoms
