,real_target,Prediction
494,psychological trauma : diagnosis,"[{'summary_text': 'psychotic trauma : physiology : treatments : interventions : causes . experts: treatments: treatments, treatments ; treatments'}]"
495,albuminuria : diagnosis,[{'summary_text': 'albuminuria : physiology : diagnosis : treatments : diagnostic : prevention : interventions : causes : symptoms : perspectives'}]
496,hypoesthesia : diagnosis,[{'summary_text': 'hypoesthesia : diagnose physiology : treatments : diagnosis . consultant : diagnostic diagnostic symptom : symptoms'}]
497,möbius syndrome : treatments,[{'summary_text': 'möbius syndrome . lubrication with eye drops can improve speech and speech . surgery can also improve limb and jaw deformities .'}]
498,arbovirus encephalitis : general,[{'summary_text': 'arbovirus encephalitis . symptoms : causes . causes : physiology . physiologies .'}]
499,polymicrogyria : physiology,[{'summary_text': 'polymicrogyria : physiology : causes physiological . physiologic fibromyelitis : symptoms'}]
500,hairy cell leukemia : general,[{'summary_text': 'hairy cell leukemia : physiology : symptoms : causes . socio-political malignancy : diagnosis'}]
501,amnesia : symptoms,[{'summary_text': 'anterograde amnesia : physiology : treatments . physiologic syndrome : symptoms : diagnosis'}]
502,tricuspid atresia : diagnosis,[{'summary_text': 'oligemic lung field ecg : physiology . symbiosis - a symptom'}]
503,digeorge syndrome : symptoms,[{'summary_text': 'digeorge syndrome : physiology - symptoms : symptoms . socio-economic status of speech : diagnosis'}]
504,microscopic colitis : symptoms,[{'summary_text': 'microscopic colitis . symptoms include abdominal incontinence and unintentional weight loss . cigarette smoking : symptoms'}]
505,lymphedema : causes,[{'summary_text': 'lymphedema : physiology : causes : treatments  socio-political euphoric lymphoma - causes'}]
506,rift valley fever : physiology,[{'summary_text': 'nonstructural protein encoded on the s segment . nss : physiology : causes . experts: symbiotics'}]
507,diabetic ketoacidosis : diagnosis,[{'summary_text': 'euglycemic diabetic ketoacidosis . he says he explains symptoms of diabetes : diagnosis'}]
508,acne : general,"[{'summary_text': 'acne, also known as acne vulgaris , a general . he says it affects skin with sebaceous glands . acne : general'}]"
509,rib fracture : causes,[{'summary_text': 'rib fractures : physiology : causes physiologic . physiological . causes . cause : symptoms'}]
510,klinefelter syndrome : diagnosis,[{'summary_text': 'klinefelter syndrome : diagnostic physiology . diagnosis : diagnosis . physiologic esophageal fibrosis'}]
511,multiple endocrine neoplasia type 2 : causes,[{'summary_text': 'endocrine neoplasia . hepatitis c : physiology : causes . causes'}]
512,esophageal cancer : diagnosis,[{'summary_text': 'an occlusive tumor : diagnostic physiology : diagnosis . esophagogastroduodenoscopy : diagnose'}]
513,zollinger–ellison syndrome : diagnosis,[{'summary_text': 'zollinger–ellison syndrome . diagnosis is made through laboratory tests and imaging studies . neuroendocrine tumors : diagnosis'}]
514,heavy menstrual bleeding : treatments,[{'summary_text': 'heavy menstrual bleeding : treatments . experts: treatment of uterine adenomyosis : treatment'}]
515,hemarthrosis : causes,[{'summary_text': 'hemorrhagic fever : physiology : causes . physiologic syndrome : treatments : symptoms'}]
516,sex education : general,[{'summary_text': 'sex education : physiology : treatments : prevention : interventions . edwards syndrome : general'}]
517,atrophic vaginitis : diagnosis,[{'summary_text': 'women can have signs and symptoms that can be attributed to other causes . diagnosis based on symptoms that cannot be better accounted for .'}]
518,caroli disease : general,[{'summary_text': 'caroli disease . hepatic fibrosis : physiology . physiologic sclerosis : causes'}]
519,right ventricular hypertrophy : treatments,[{'summary_text': 'right ventricular hypertrophy : physiology - treatments : treatments - physiologies : treatment : interventions : prevention'}]
520,transitional cell carcinoma : treatments,[{'summary_text': 'localized/early transitional cell carcinoma . hexadecimal carcinoma : treatments . hezbollahia : treatment'}]
521,polycystic kidney disease : physiology,[{'summary_text': 'autosomal dominant and recessive polycystic kidney disease cyst formation . he says cilia-mediated signaling : causes'}]
522,larynx : symptoms,[{'summary_text': 'laryngitis : physiology : symptoms : causes . causes : treatments : general : prevention : interventions :'}]
523,andersen–tawil syndrome : symptoms,[{'summary_text': 'andersen-tawil syndrome : physiology : symptoms : causes . socio-economic factors: causes'}]
524,hiv/aids : prevention,[{'summary_text': 'hiv infection : prevention - prevention : treatments : interventions - interventions : prévention : treatment : intervention - prévention - intervention'}]
525,anomalous left coronary artery from the pulmonary artery : general,[{'summary_text': 'anomalous left coronary artery from the pulmonary artery . it is a congenital anomaly . aortic sinus syndrome : causes'}]
526,zoogeography : general,[{'summary_text': 'zoogeography : physiology : diagnosis . diagnosis of apoptosis : treatments'}]
527,lichen nitidus : general,[{'summary_text': 'lichen nitidus : causes physiology - causes . causes : physiologies : symptoms : treatments'}]
528,acromegaly : general,[{'summary_text': 'acromegaly : physiology : symptoms : causes  symbiosis : treatments'}]
529,diffuse esophageal spasm : diagnosis,[{'summary_text': 'korkenzieher-ösophagus . rosary bead esophageal syndrome : symptoms'}]
530,ureaplasma urealyticum : general,"[{'summary_text': ""uréaplasma urealyticum . it is a bacterium belonging to the genus ''ureaplasm''""}]"
531,gastric antral vascular ectasia : general,[{'summary_text': 'gastric antral vascular ectasia . he says he explains the causes of watermelon disease .'}]
532,metachromatic leukodystrophy : symptoms,[{'summary_text': 'mld : physiology : symptoms : causes . san francisco syndrome : treatments'}]
533,spinal muscular atrophy : diagnosis,[{'summary_text': 'sma type i : diagnostic physiology - diagnosis : diagnosis . hepatitis c disease : symptoms'}]
534,arthritis : diagnosis,[{'summary_text': 'rheumatoid arthritis . symptoms include adolescence . symptomatic physiology : diagnosis'}]
535,post-thrombotic syndrome : diagnosis,[{'summary_text': 'postthrombotic thrombosis . diagnosis of dvt and pts should be delayed for 3–6 months .'}]
536,hypereosinophilic syndrome : diagnosis,[{'summary_text': 'hypereosinophilic syndrome : diagnostic physiology : diagnosis . hesa : treatments'}]
537,catatonia : treatments,[{'summary_text': 'benzodiazepines : treatments physiology - treatments - physiologies - treatment . neuroleptic malignant syndrome : treatment'}]
538,common bile duct stone : diagnosis,[{'summary_text': 'choledocholithiasis . symptoms include nausea and vomiting . symptomatic recurrent : treatments . bile duct : diagnosis'}]
539,heterotopic ossification : causes,[{'summary_text': 'heterotopic ossification : physiology : causes physiological : treatments . sociology - physiologies'}]
540,ulcer (dermatology) : general,"[{'summary_text': 'ulcer : physiology : symptoms : causes . socio-economic status : treatments : diagnosis, diagnosis / diagnosis'}]"
541,tennis elbow : symptoms,[{'summary_text': 'tennis elbow : physiology : symptoms : causes . humerus|lateral epicondyle elbow . symptoms'}]
542,pleomorphic adenoma : diagnosis,[{'summary_text': 'salivary gland tumors : diagnostic diagnosis : diagnosis - diagnosis . adolescent lymphoma : diagnoses'}]
543,transcranial direct-current stimulation : general,[{'summary_text': 'transcranial direct current stimulation (tdcs) general : physiology . general  psychiatric depressive disorder : treatments'}]
544,retinopathy of prematurity : diagnosis,[{'summary_text': 'active rop disease : physiology - diagnosis : diagnosis physiologique . diagnosis: treatments : treatments'}]
545,hiv/aids : transmission,[{'summary_text': 'hiv transmission : physiology : transmission physiologies : treatments  socioeconomic status : prevention : diagnosis'}]
546,bluetongue disease : general,[{'summary_text': 'bluetongue disease . causes : physiology . symbiosis : symptoms : causes'}]
547,ewing's sarcoma : symptoms,"[{'summary_text': ""ewing's sarcoma . symptoms include fever, anemia, leukocytosis . symptomatic bone pain : symptoms""}]"
548,spinal cord injury : symptoms,[{'summary_text': 'san francisco : samaritans . hepatitis c : causes . adolescence'}]
549,chronic paroxysmal hemicrania : treatments,[{'summary_text': 'indomethacin : treatments : symptoms . symptoms: treatments; physiology : prevention : treatment . experts: treatments'}]
550,polyuria : treatments,[{'summary_text': 'desmopressin nocturnal polyuria . he says treatment should be given to patients with diabetes mellitus .'}]
551,mental disorder : prevention,[{'summary_text': 'mental disorders : prevention . epa : preventive prevention : treatments : interventions : strategies . experts  experts : treatment'}]
552,epileptic spasms : general,[{'summary_text': 'epileptic spasm . he says general flexion epilepsy . general encephalopathy : physiology'}]
553,carpal tunnel syndrome : prevention,[{'summary_text': 'carpal tunnel syndrome : preventive physiology : prevention - prevention . expert expert: preventative physiologic : treatments'}]
554,acrocallosal syndrome : physiology,[{'summary_text': 'acrocallosal syndrome . symptoms include agenesis of the corpus . symptomatic recurrent syndrome : symptoms'}]
555,head and neck cancer : treatments,[{'summary_text': 'squamous cell carcinoma of the head and neck . he says treatment focuses on diagnosis and diagnosis . cancer : treatments'}]
556,sleepwalking : causes,[{'summary_text': 'sleepwalking : physiology - causes : causes physiological : treatments . experts: symptomatic symptom : symptoms'}]
557,calcifying odontogenic cyst : symptoms,[{'summary_text': 'odontogenic cyst : physiology : symptoms : causes . s. coli : treatments'}]
558,myiasis : diagnosis,[{'summary_text': 'ophthalmomyiasis : diagnose physiology : diagnosis . physiologic syndrome : symptoms'}]
559,pilomatricoma : physiology,[{'summary_text': 'pilomatricoma . adenomatous polyposis coli|apc mutation : physiology'}]
560,uveitis : diagnosis,[{'summary_text': 'posterior uveitis . diagnosis includes dilated fundus examination . hepatitis c : diagnosis'}]
561,viral pneumonia : prevention,[{'summary_text': 'viral pneumonia . prevention : prevention - prevention . veterinary literature : cure . cure flu flu : treatments'}]
562,coronary artery disease : physiology,[{'summary_text': 'coronary artery disease : physiology : symptoms : causes . socioeconomic factors : mechanisms physiological factors'}]
563,hemosiderosis : general,[{'summary_text': 'hemosiderosis : physiology : symptoms . physiologic syndrome : causes physiological symptomatic diagnosis'}]
564,learning disability : causes,[{'summary_text': 'learning disability : causes : physiology – causes – physiologies : symptoms : treatments : diagnosis : prevention'}]
565,duchenne muscular dystrophy : symptoms,"[{'summary_text': 'dmd, a progressive neuromuscular disease , : physiology . symbiosis : symptoms'}]"
566,hepatorenal syndrome : treatments,[{'summary_text': 'hepatorenal syndrome : treatments physiology : therapies . physiologic hepatic ischemia : treatment'}]
567,paragonimiasis : treatments,[{'summary_text': 'paragonimiasis . praziquantel may also be used . bithionol may be used as a treatment .'}]
568,lymphocytic colitis : treatments,[{'summary_text': 'lymphocytic colitis . hepatitis c : treatments . budesonide . treatments'}]
569,dementia with lewy bodies : diagnosis,[{'summary_text': 'dementia with lewy bodies . diagnosis : diagnostic physiology - diagnosis . diagnostic : diagnosis physiologic : treatments'}]
570,birt–hogg–dubé syndrome : physiology,[{'summary_text': 'birt–hogg–dubé syndrome : physiology : causes physiological : mechanisms physiologique : treatments'}]
571,obliterating endarteritis : general,"[{'summary_text': 'obliterating endarteritis . causes include radiation poisoning, tuberculosis meningitis .'}]"
572,conductive hearing loss : diagnosis,[{'summary_text': 'sensorineural hearing loss : diagnosis : diagnostics - diagnosis - diagnostics: diagnostic physiology : diagnoses : treatments : interventions'}]
573,torticollis : general,"[{'summary_text': ""torticollis . asymmetrical head or neck position . the term 'torticolli' is derived from latin .""}]"
574,hyperpigmentation : general,[{'summary_text': 'hyperpigmentation . physiology : causes . symptoms : symptoms . causes : treatments : general . psychology : physio'}]
575,visual impairment : diagnosis,[{'summary_text': 'low vision care : treatments . adolescent visual loss : diagnosis physiology : treatment physiologic'}]
576,gnathostomiasis : general,[{'summary_text': 'gnathostomiasis . symbiotic disease : causes . migrans profundus : cause'}]
577,ovarian cyst : general,[{'summary_text': 'ovarian cyst : physiology : causes . ovulation - causes - symbiosis : symptoms'}]
578,transient global amnesia : diagnosis,[{'summary_text': 'thrombosis of basilar artery cardioembolic stroke complex partial seizures frontal lobe epilepsy lacunar syndrome .'}]
579,conversion disorder : diagnosis,[{'summary_text': 'conversion disorder : diagnosis physiology - diagnosis - physiologies : symptoms . diagnosis: diagnosis; diagnosis: treatments'}]
580,pneumoconiosis : physiology,[{'summary_text': 'pulmonary alveolus|alveoli : reaction . fibrosis : physiology : causes'}]
581,sign language : general,[{'summary_text': 'sign languages : physiology - psychiatry . physiologic signs : symptoms : general'}]
582,cockayne syndrome : physiology,[{'summary_text': 'cyclobutane pyrimidine dimers . csa deficiency : physiology .'}]
583,hermansky–pudlak syndrome : physiology,[{'summary_text': 'hermansky–pudlak syndrome : physiology . physiologic disease : symptoms : causes'}]
584,gonorrhea : symptoms,[{'summary_text': 'gonorrhea : physiology - symptoms : causes . socioeconomic status : symptoms: causes'}]
585,lyme disease : prevention,[{'summary_text': 'tick bites : prevents physiology : prevention - prevention . vet vet vets - vets and vets'}]
586,chagas disease : treatments,[{'summary_text': 'parasympathetic autonomic system chagas disease . he says treatment focuses on prevention and prevention . disease : treatments'}]
587,hypokinesia : treatments,[{'summary_text': 'nocturnal hypokinesia . hepatitis c - a physiology : treatments - treatments'}]
588,follicular lymphoma : general,"[{'summary_text': 'follicular lymphoma (fl), a disease characterized by a symbiosis . he says fl is a general symptomatic of lymphoid sclerosis . cancer : general'}]"
589,rickettsia : physiology,[{'summary_text': 'peach phony rlo . hepatitis c : physiology . guanaco .'}]
590,space adaptation syndrome : general,[{'summary_text': 'space adaptation syndrome (sas) or space sickness . occurs when the environment and the person appear in motion . there is no sensation of bodily movement originating from the vestibular system .'}]
591,discitis : causes,[{'summary_text': 'hematogenous seeding of the offending organism . hepatic discitis : physiology : causes'}]
592,cerebral contusion : symptoms,[{'summary_text': 'a cerebral contusion . symptoms varies from minor to severe . symptomatic symptoms : symptoms . causes : causes'}]
593,gastroparesis : diagnosis,[{'summary_text': 'gastroparesis . diagnosis : diagnose . consultant: diagnosis physiologic edema : diagnosis'}]
594,california encephalitis orthobunyavirus : physiology,[{'summary_text': 'california encephalitis : physiology . physiologic disease : symptoms : causes'}]
595,maple syrup urine disease : symptoms,[{'summary_text': 'classic msud : physiology - symptoms : symptoms . socioeconomic factors factors factors : causes'}]
596,social behavior : general,[{'summary_text': 'social behavior in humans : physiology . hepatitis c : theorema : general'}]
597,hereditary motor and sensory neuropathy : general,[{'summary_text': 'hereditary motor and sensory neuropathies . he says hmsn is characterized by atypical neural development . neuropathy : general'}]
598,septic shock : diagnosis,[{'summary_text': 'sepsis . symptoms include tachycardia . symptomatic septic shock . diagnosis : diagnosis'}]
599,preterm birth : prevention,[{'summary_text': 'bronchopulmonary dysplasia : physiology : treatments . physiologic preterm birth : prevention'}]
600,dyslexia : causes,[{'summary_text': 'dyslexia : physiology : causes : treatments : symptoms : diagnosis : diagnostics . sociology: causes'}]
601,efficiency : general,[{'summary_text': 'efficiency : general . general : physiology - general ; general / general - systicism . hegemonia : causes'}]
602,acute myeloid leukemia : diagnosis,[{'summary_text': 'auer rod smear 2010-01-27 . jpg|thumb|upright image:myeloblast .'}]
603,meningitis : treatments,[{'summary_text': 'bacterial meningitis : treatments . physiologic meningia . hepatitis c : prevention'}]
604,refractive error : treatments,[{'summary_text': 'refractive error . symptoms : treatments - treatment - physiology - treatments . consultant: treatments'}]
605,taeniasis : symptoms,[{'summary_text': 'pork tapeworm taeniasis . he says complication can lead to anaemia and indigestion . disease : causes'}]
606,alcoholic cardiomyopathy : treatments,[{'summary_text': 'alcoholic cardiomyopathy : treatments . obstructive heart disease . treatments for congestive heart failure . diagnosis'}]
607,tonsillitis : treatments,[{'summary_text': 'tonsillitis : treatments : treatment : interventions . physiology : medications : prevention : therapies : strategies'}]
608,crisscross heart : general,"[{'summary_text': ""crisscross heart defect . he says it's more of a spatial anomaly than a functional . heart : general""}]"
609,barrett's esophagus : diagnosis,"[{'summary_text': ""barrett's esophageal dysplasia . adenocarcinoma : diagnosis ; diagnosis""}]"
610,amelogenesis imperfecta : treatments,[{'summary_text': 'occlusal vertical height : treatments - treatments : treatment . esthetic ailment : therapies'}]
611,myalgia : causes,[{'summary_text': 'myalgia : physiology - causes : causes . physiologic fibroblastic fibrosis . causes'}]
612,confusion : causes,[{'summary_text': 'drug induced acute confusion : physiology : causes . physiologic confusion - causes - symptomatic diagnosis'}]
613,cystic fibrosis : treatments,[{'summary_text': 'pseudomonas aeruginosa . he says cf a symptom of pulmonary fibrosis : treatments'}]
614,glycogen storage disease type vi : general,"[{'summary_text': ""glycogen storage disease type vi . it is caused by a deficiency in liver glycogen phosphorylase . the disease is also known as hers' disease .""}]"
615,glycogen storage disease type v : general,[{'summary_text': 'glycogen storage disease type v . it is a metabolic disorder caused by a deficiency of myophosphorylase .'}]
616,parental obesity : general,[{'summary_text': 'parental obesity . a 5-foot-5-inch tall woman would be considered obese if she weighs 180 pounds or more . an obese 5-foot-8-inch-high woman weighing 200 pounds is considered overweight .'}]
617,lichen sclerosus : diagnosis,[{'summary_text': 'lyme disease : diagnostic physiology . ls . hepatitis c : diagnosis'}]
618,coronavirus : general,[{'summary_text': 'coronavirus : physiology : causes physiologies . physiologic coronal virus : symptoms'}]
619,familial mediterranean fever : treatments,[{'summary_text': 'colchicine-resistant fmf . recurrent fever syndrome : physiology : prevention : treatments : interventions'}]
620,scoliosis : diagnosis,[{'summary_text': 'adolescent idiopathic scoliosis . he says diagnosis is symptomatic . diagnosis'}]
621,vipoma : treatments,"[{'summary_text': 'octreotide, a human-made form of the natural hormone somatostatin, blocks the action of vip . peptide receptor radionuclide therapy : treatments'}]"
622,tic disorder : diagnosis,"[{'summary_text': 'tics should be distinguished from other causes of tourettism, stereotypies, chorea, dyskinesias and obsessive-compulsive disorder .'}]"
623,laryngopharyngeal reflux : diagnosis,[{'summary_text': 'laryngoscopy : diagnosis physiology - diagnosis - physiologic : diagnostic physiologie : treatments'}]
624,felty's syndrome : diagnosis,"[{'summary_text': 'rheumatoid arthritis ra . symptoms include leukemia, systemic lupus erythrematosus .'}]"
625,sneeze : prevention,[{'summary_text': 'sneezing : prevention - prevention : treatments . experts: treatments for pulmonary disease : interventions . experts: prevention'}]
626,pityriasis lichenoides : general,[{'summary_text': 'pityriasis lichenoides . symptoms include brussels syndrome . bronchitis .'}]
627,hashimoto's thyroiditis : general,"[{'summary_text': ""hashimoto's thyroiditis : physiology : symptoms : causes . socioeconomics : treatments""}]"
628,monckeberg's arteriosclerosis : general,"[{'summary_text': ""mönckeberg's arteriosclerosis . it is a form of vessel hardening . calcification : general""}]"
629,coma : treatments,"[{'summary_text': ""comatose coma . he says treatment varies from patient to patient . patient's condition : treatments""}]"
630,drug allergy : symptoms,[{'summary_text': 'eosinophilic myocarditis . symptoms include hives itching rash fever . physiology'}]
631,food intolerance : diagnosis,[{'summary_text': 'food intolerance . diagnosis can include elisa and hydrogen breath testing . he says diagnosis is important to diagnose autoimmune disease .'}]
632,dirofilariasis : general,"[{'summary_text': 'dirofilariasis . symptoms include cough, fever and pleural effusion . bronchitis : symptoms'}]"
633,fasciculation : general,[{'summary_text': 'fasciculation syndrome : causes physiology : symptoms . physiologic fasciculations : physiologies'}]
634,tick-borne encephalitis : causes,[{'summary_text': 'tick-borne encephalitis . he says tbe is a symptom of a disease . disease : physiology'}]
635,ichthyosis : diagnosis,[{'summary_text': 'ichthyosis : diagnose physiology : diagnosis . consultant: treatments for diabetes : treatments'}]
636,schizotypal personality disorder : treatments,[{'summary_text': 'schizotypal schizophrenia : treatments . stpd-induced psychiatric comorbidity . diagnosis'}]
637,amelanotic melanoma : general,[{'summary_text': 'amelanotic melanoma : causes physiology : diagnosis . squamous-cell carcinoma : symptoms'}]
638,tuberculoma : general,[{'summary_text': 'tuberculoma : physiology : diagnosis : treatments . dermatologists et al. coli syndrome : symptoms'}]
639,infant respiratory distress syndrome : treatments,[{'summary_text': 'infant bronchopulmonary dysplasia : treatments . broncopulmonary syndrome : treatment physiology : diagnosis'}]
640,thrombophilia : symptoms,[{'summary_text': 'thrombophilia : physiology : symptoms : causes . socio-political esophageal fibrosis : treatments'}]
641,pancoast tumor : symptoms,[{'summary_text': 'pancoast tumor : physiology / symptoms : symptoms . autism spectrum disorder : causes physiologic symptom'}]
642,ototoxicity : general,[{'summary_text': 'ototoxicity : physiology : general . hepatitis c : symptoms : treatments'}]
643,escape response : general,"[{'summary_text': 'escape response, escape reaction, or escape behaviour . he says variation in response to possible predation . survival : physiology'}]"
644,microphthalmia : causes,[{'summary_text': 'microphthalmia in newborns . he says phenotypes of mitf can be attributed to fetal alcohol syndrome .'}]
645,roseola : prevention,[{'summary_text': 'exanthema subitum . there is no specific vaccine against or treatment . most children with the disease are not seriously ill .'}]
646,emaciation : general,[{'summary_text': 'emaciation : physiology : symptoms . socioeconomic factors factors : causes physiologic maladies'}]
647,pseudoxanthoma elasticum : diagnosis,[{'summary_text': 'angioid streak in the ocular retina : diagnostic physiology . diagnosis : diagnosis of pxe : treatments'}]
648,hailey–hailey disease : general,[{'summary_text': 'hailey–hailey disease . causes blisters to form on the skin . can cause a symptom of a fever .'}]
649,brown-séquard syndrome : general,[{'summary_text': 'brown-séquard syndrome . causes include hemiplegia et al . physiology : causes'}]
650,refsum disease : diagnosis,[{'summary_text': 'refsum disease : physiology : diagnosis : treatments : diagnostic : causes . socio-political diagnosis'}]
651,intrauterine hypoxia : diagnosis,[{'summary_text': 'intrauterine hypoxia . diagnosis via fetal oximetry . symbiosis : diagnosis .'}]
652,dyslexia : causes,[{'summary_text': 'dyslexia : physiology : causes : treatments : symptoms : diagnosis : diagnostics . sociology: causes'}]
653,adrenocortical adenoma : general,[{'summary_text': 'adrenocortical adenoma . he says it is asymptomatic and non-functioning neoplasm .'}]
654,testicular torsion : treatments,[{'summary_text': 'testicular torsion : physiology : diagnosis : treatments : diagnostics : interventions : prevention : treatment : intervention : prévention'}]
655,parkinson's disease : physiology,[{'summary_text': 'substantia nigra . synuclein : immunostructural physiology .'}]
656,somatic symptom disorder : diagnosis,[{'summary_text': 'controversy somatic symptom disorder . he says diagnosis based primarily on negative diagnosis . but diagnosis asymptomatic : diagnosis'}]
657,hypersensitivity pneumonitis : general,[{'summary_text': 'hypersensitivity pneumonitis . or extrinsic allergic alveolitis . eaa is a rare immune system disorder .'}]
658,cytomegalovirus retinitis : general,[{'summary_text': 'cytomegalovirus retinitis . hepatosis : causes . causes : physiology'}]
659,heart failure with preserved ejection fraction : general,[{'summary_text': 'heart failure with preserved ejection fraction . he says he explains why heart failure is a heart failure . hispanic heart disease : causes'}]
660,atrial fibrillation : general,[{'summary_text': 'atrial fibrillation . general general : general physiology . general amputational pulmonary fibrosis : causes'}]
661,yaws : diagnosis,[{'summary_text': 'treponematosis : diagnosis physiology : diagnostic . physiologic syndrome : diagnose'}]
662,bovine alphaherpesvirus 1 : transmission,[{'summary_text': 'bohv-1 : transmission : physiology : prevention : interventions . physiologic disease : treatments'}]
663,bartter syndrome : symptoms,[{'summary_text': 'neonatal bartter syndrome : physiology : diagnosis . physiologic disease : prevention : treatments'}]
664,premature atrial contraction : diagnosis,[{'summary_text': 'premature atrial contraction : physiology : diagnosis . physiologic pacing syndrome : diagnostics : diagnoses'}]
665,yaws : symptoms,"[{'summary_text': '""mother yaw"" nodule . he says tertiary disease : causes . hepatitis c: causes'}]"
666,ileitis : general,"[{'summary_text': ""crohn's ileitis . causes inflammatory bowel disease . cause varies : causes . physiology""}]"
667,dyslexia : general,[{'summary_text': 'dyslexia : physiology : symptoms : causes . socioeconomics : treatments: causes: causes'}]
668,abdominal aortic aneurysm : prevention,[{'summary_text': 'smoking cessation treatment of hypertension . hepatitis c : treatments . hypertension: physiology'}]
669,hellp syndrome : diagnosis,[{'summary_text': 'hellp syndrome : diagnostic physiology : diagnosis . hepatic dystrophy . diagnosis : treatments'}]
670,chancroid : causes,[{'summary_text': 'chancroid . causes of genital ulcer disease : physiology . symptoms : causes physiologic : symptoms'}]
671,central core disease : treatments,[{'summary_text': 'ryr1 mutation . causes of mh - a symptom - may be triggered . physiology'}]
672,ventilator-associated pneumonia : prevention,[{'summary_text': 'tracheal intubation|intubated . prevention of vap involves limiting exposure to resistant bacteria . he says antiseptic mouthwashes : prevention'}]
673,treponema pallidum : symptoms,[{'summary_text': 'syphilis : physiology : treatments physiologique . physiologic syndrome : symptoms : causes physiological'}]
674,duane syndrome : diagnosis,"[{'summary_text': ""duane's syndrome . diagnosis : diagnosis physiology - diagnosis - physiologic physiologies : treatments""}]"
675,solitary neurofibroma : general,"[{'summary_text': 'solitary neurofibroma . it is a soft, flaccid, and pinkish-white tumor . the tumor can be invaginated .'}]"
676,situs inversus : general,[{'summary_text': 'situs inversus . he says he describes condition as a symptomatic . condition : physiology .'}]
677,vitamin d deficiency : treatments,[{'summary_text': 'vitamin d deficiency : treatments - treatments : treatment : interventions : diagnosis  diagnosis / diagnosis : prevention'}]
678,splenic injury : causes,"[{'summary_text': ""a ruptured spleen . he says it's common to have blunt abdominal trauma . hispanic rupture : causes""}]"
679,obesity : treatments,[{'summary_text': 'weight loss : treatments : interventions : prevention : intervention . san francisco obesity : treatment : therapies'}]
680,pneumococcal infection : treatments,[{'summary_text': 'penicillin-resistant pneumoniae : treatments : treatment : interventions . experts : prevention : therapies for pneumonia - treatments'}]
681,multiple endocrine neoplasia type 2b : diagnosis,[{'summary_text': 'medullary thyroid carcinoma : diagnosis physiology : diagnostics . symbiosis : diagnoses'}]
682,mycobacterial cervical lymphadenitis : treatments,[{'summary_text': 'm. tuberculosis . scrofula : treatments - treatment - physiology - treatments'}]
683,cerebellum : general,[{'summary_text': 'cerebellum : physiology - physiologie : causes physiologic : mechanisms physiologique : mechanics : treatments'}]
684,neurothekeoma : general,[{'summary_text': 'neurothekeoma : physiology . physiologic fibrosis : symptoms : causes'}]
685,necrolytic migratory erythema : diagnosis,[{'summary_text': 'epidermal necrosis subcorneal pustules confluent parakeratosis . papillary dermal hyperplasia : symptoms'}]
686,acne : symptoms,[{'summary_text': 'atrophic acne scar : physiology : symptoms : causes . san francisco : treatments'}]
687,arousal : general,[{'summary_text': 'arousal : physiology : general : causes . socioeconomic factors factors : factors influencing performance : mechanisms'}]
688,situs ambiguus : physiology,[{'summary_text': 'bronchial stenosis : physiology : causes physiological : treatments : symptoms : diagnosis'}]
689,hypertension : causes,[{'summary_text': 'primary hypertension hypertension : physiology : causes physiological : mechanisms physiologique . physiologic toxicity'}]
690,obstructed labour : diagnosis,[{'summary_text': 'obstructed labour . he says diagnosis is based on physical examination . she says diagnosis can help prevent fetus exit .'}]
691,burning mouth syndrome : symptoms,[{'summary_text': 'erythema : signs . symptoms : symptoms physiology : causes . physiologic syndrome : diagnosis'}]
692,machado–joseph disease : diagnosis,[{'summary_text': 'mjd syndrome : diagnosis physiology - diagnosis - physiologic : treatments . socio-political disease : symptoms'}]
693,hearing loss : prevention,[{'summary_text': 'noise-induced hearing loss : preventive : prevention - prevention : interventions . experts: prevention of hearing loss: prevention'}]
694,leishmaniasis : prevention,[{'summary_text': 'phlebotominae sandfly attacks . a mosquito net with 1.2mm mesh can help prevent the spread of leishmaniasis .'}]
695,social learning : general,[{'summary_text': 'social pedagogy : physiology - general : general physiologies - symbiosis -'}]
696,pseudoexfoliation syndrome : diagnosis,[{'summary_text': 'glaucoma : diagnoses : treatments : diagnostics . slit lamp examination : diagnosis'}]
697,measles : prevention,[{'summary_text': 'measles : vaccination - prevention : treatments . epidemiology : prevention - treatments : interventions'}]
698,viral encephalitis : general,[{'summary_text': 'viral encephalitis . causes of seizures : prevention / prevention . prevention : prévention  encephallitis : treatments'}]
699,phobia : causes,[{'summary_text': 'phobias : physiology : treatments . physiologic phobia : therapies : approaches physiological'}]
700,schizophrenia : prevention,[{'summary_text': 'schizophrenia : preventive healthcare - prevention - systéma : prevention – prevention . shamasiasis: prevention'}]
701,malocclusion : causes,[{'summary_text': 'malocclusion . physiology : physiologies . diagnosis : causes physiologic : cause . causes  symbiosis : symptoms : treatments'}]
702,osteosarcoma : treatments,[{'summary_text': 'osteosarcoma . hepatitis c : treatments . hepatoidosis : treatment'}]
703,laryngotracheal stenosis : diagnosis,"[{'summary_text': 'patient history, ct scan of neck and chest . fibre-optic bronchoscopy . patient history and physiology'}]"
704,guillain–barré syndrome : causes,[{'summary_text': 'guillain–barré syndrome : physiology : symptoms : causes . causes : mechanisms physiologic : treatments'}]
705,auditory processing disorder : diagnosis,[{'summary_text': 'auditory processing disorder : diagnoses : treatments . physiology : diagnostic diagnosis : diagnosis physiologic diagnosis'}]
