,real_target,Prediction
749,costello syndrome : treatments,[{'summary_text': 'costello syndrome is a chronic disease . it can cause a'}]
750,personal construct theory : general,[{'summary_text': 'personal construct theory : a resemblance to a'}]
751,hiv : general,[{'summary_text': 'hiv : a brief overview of the current situation in the '}]
752,follicular lymphoma : physiology,[{'summary_text': 'follicular lymphoma : physiology .'}]
753,amblyopia : causes,[{'summary_text': 'amblyopia is a chronic disease . it causes a'}]
754,milk allergy : general,[{'summary_text': 'milk allergy is the most common symptom in the u.s.'}]
755,valvular heart disease : diagnosis,[{'summary_text': 'valvular heart disease : diagnosis and diagnosis . .'}]
756,portal hypertension : physiology,[{'summary_text': 'portal hypertension : physiology . click here for more '}]
757,adherence (medicine) : general,[{'summary_text': 'adherence (medicine) is the most common symptom of the disease '}]
758,sensorineural hearing loss : symptoms,[{'summary_text': 'sensorineural hearing loss . symptoms : symptoms . .'}]
759,anemia : diagnosis,[{'summary_text': 'anemia is the most common disorder in the u.s .'}]
760,diabetic neuropathy : symptoms,[{'summary_text': 'diabetic neuropathy symptoms : symptoms . asymptomatic '}]
761,aneurysm : physiology,[{'summary_text': 'aneurysm physiology : physiotherapy .'}]
762,aortic stenosis : general,[{'summary_text': 'aortic stenosis : a .'}]
763,cochlea : symptoms,[{'summary_text': 'cochlea symptoms : symptoms of a coma '}]
764,leydig cell tumour : treatments,[{'summary_text': 'leydig cell tumour : treatments for them . click here for'}]
765,leber's hereditary optic neuropathy : treatments,"[{'summary_text': ""leber's hereditary optic neuropathy : treatments .""}]"
766,spirochaete : physiology,[{'summary_text': 'spirochaete : physiology and physio'}]
767,polio : symptoms,[{'summary_text': 'polio asymptomatic . symptoms : symptoms .'}]
768,thrombotic microangiopathy : treatments,[{'summary_text': 'thrombotic microangiopathy : treatments . .'}]
769,hereditary multiple exostoses : treatments,[{'summary_text': 'hereditary multiple exostoses : treatments . .'}]
770,hypoparathyroidism : physiology,[{'summary_text': 'hypoparathyroidism : physiology . .'}]
771,systemic inflammatory response syndrome : treatments,[{'summary_text': 'systemic inflammatory response syndrome is a chronic disease . .'}]
772,fibromuscular dysplasia : treatments,[{'summary_text': 'fibromuscular dysplasia : treatments . .'}]
773,actinic keratosis : treatments,[{'summary_text': 'actinic keratosis treatment : treatments .'}]
774,psychophysics : general,[{'summary_text': 'psychophysics is the most common practice in the u.s .'}]
775,astrocytoma : diagnosis,[{'summary_text': 'astrocytoma asymptomatic : diagnosis .'}]
776,stillbirth : diagnosis,[{'summary_text': 'stillbirth is the diagnosis of a comorbid disorder .'}]
777,osteoarthritis : causes,[{'summary_text': 'osteoarthritis is a major cause of recurrent disease '}]
778,embolism : general,[{'summary_text': 'embolism : a skepticism . '}]
779,lead poisoning : diagnosis,[{'summary_text': 'lead poisoning is a common disease . a symptom may'}]
780,mood disorder : treatments,[{'summary_text': 'mood disorder : treatments . a randomized controlled trial .'}]
781,fat necrosis : general,[{'summary_text': 'fat necrosis : a symptom of a stroke '}]
782,presbycusis : treatments,[{'summary_text': 'presbycusis is a chronic disease . .'}]
783,facial expression : general,[{'summary_text': 'facial expression is the most common expression in the u.s .'}]
784,lupus vulgaris : general,[{'summary_text': 'lupus vulgaris is a common disease . it is'}]
785,repetitive strain injury : symptoms,[{'summary_text': 'repetitive strain injury . symptoms : symptoms of a coma'}]
786,alcoholism : diagnosis,[{'summary_text': 'alcoholism diagnosis : diagnosis . a coma '}]
787,bovine respiratory disease : causes,[{'summary_text': 'bovine respiratory disease is a chronic disease . a symptom'}]
788,granulomatous mastitis : general,[{'summary_text': 'granulomatous mastitis : the general .'}]
789,cholesteatoma : causes,[{'summary_text': 'cholesteatoma : causes of a . .'}]
790,body integrity dysphoria : general,[{'summary_text': 'body integrity dysphoria : a general . .'}]
791,lung nodule : causes,[{'summary_text': 'lung nodule : causes of a coma .'}]
792,williams syndrome : treatments,[{'summary_text': 'williams syndrome is a chronic disease . it can cause'}]
793,pick's disease : diagnosis,"[{'summary_text': ""pick's disease is the most common disease in the u.s""}]"
794,renal papillary necrosis : general,[{'summary_text': 'renal papillary necrosis : a symptom .'}]
795,central retinal vein occlusion : treatments,[{'summary_text': 'central retinal vein occlusion : treatments . .'}]
796,rotavirus : diagnosis,[{'summary_text': 'rotavirus is the most common disease in the uk .'}]
797,lymphoid leukemia : treatments,[{'summary_text': 'lymphoid leukemia : treatments for the disease .'}]
798,neurofibromatosis : physiology,[{'summary_text': 'neurofibromatosis : physiology and symptoms .'}]
799,stereotypic movement disorder : general,[{'summary_text': 'stereotypic movement disorder : a symptom . .'}]
800,dental fluorosis : physiology,[{'summary_text': 'dental fluorosis : the physiology of the disease '}]
801,esophageal stricture : causes,[{'summary_text': 'esophageal stricture : causes of disease .'}]
802,fibrous dysplasia of bone : general,[{'summary_text': 'fibrous dysplasia of bone : a symptom '}]
803,african swine fever virus : general,[{'summary_text': 'african swine fever virus : u.s.'}]
804,hepatocellular carcinoma : general,[{'summary_text': 'hepatocellular carcinoma : symptomatic . .'}]
805,paraphilia : causes,[{'summary_text': 'paraphilia : causes of disease . u.s'}]
806,plasmacytoma : symptoms,[{'summary_text': 'plasmacytoma symptoms : symptoms of a coma '}]
807,iatrogenesis : causes,[{'summary_text': 'iatrogenesis is the cause of a serious disease '}]
808,herpetic gingivostomatitis : general,[{'summary_text': 'herpetic gingivostomatitis : a'}]
809,myxedema : diagnosis,[{'summary_text': 'myxedema is a rare disease . it can cause'}]
810,refeeding syndrome : diagnosis,[{'summary_text': 'refeeding syndrome is a common condition . it is '}]
811,odontogenic cyst : diagnosis,"[{'summary_text': ""odontogenic cyst : diagnosis of . 's""}]"
812,histiocytoma : general,[{'summary_text': 'histiocytoma : a symptom .'}]
813,generalized epilepsy : treatments,[{'summary_text': 'generalized epilepsy : treatments for generalized . .'}]
814,social norm : transmission,[{'summary_text': 'social norms : transmission . sympathetic .'}]
815,genital wart : causes,[{'summary_text': 'genital wart : causes . u.s.'}]
816,atrial flutter : general,[{'summary_text': 'atrial flutter : a syrian .'}]
817,pagetoid reticulosis : general,[{'summary_text': 'pagetoid reticulosis is the most common disorder'}]
818,infective endocarditis : symptoms,[{'summary_text': 'infective endocarditis : symptoms . .'}]
819,superior mesenteric artery syndrome : symptoms,[{'summary_text': 'superior mesenteric artery syndrome : symptoms . .'}]
820,bacillary dysentery : general,[{'summary_text': 'bacillary dysentery : a symptom .'}]
821,ganglioneuroblastoma : general,[{'summary_text': 'ganglioneuroblastoma is the most populous city'}]
822,tetany : physiology,"[{'summary_text': ""tetany's physiology : physio ""}]"
823,toxic megacolon : symptoms,[{'summary_text': 'toxic megacolonia : symptoms of sclerosis .'}]
824,relative energy deficiency in sport : causes,[{'summary_text': 'relative energy deficiency in sport . causes of relative defic'}]
825,spinal muscular atrophy : symptoms,[{'summary_text': 'spinal muscular atrophy . symptoms : symptoms of . .'}]
826,ebstein's anomaly : treatments,"[{'summary_text': ""ebstein's anomaly asymptomatic : treatments""}]"
827,toothache : general,[{'summary_text': 'toothache is the most common ache in the world . .'}]
828,mallory–weiss syndrome : general,[{'summary_text': 'mallory–weiss syndrome : a symptom .'}]
829,large for gestational age : symptoms,[{'summary_text': 'large for gestational age . symptoms of large . .'}]
830,retinoblastoma : treatments,[{'summary_text': 'retinoblastoma is a rare disease .'}]
831,intermittent claudication : general,[{'summary_text': 'intermittent claudication : a . symptom .'}]
832,chorioretinitis : causes,[{'summary_text': 'chorioretinitis : causes of . '}]
833,gastroschisis : diagnosis,[{'summary_text': 'gastroschisis : diagnosis . a randomized controlled trial'}]
834,hyperparathyroidism : symptoms,[{'summary_text': 'hyperparathyroidism symptoms : symptoms . a '}]
835,alkaptonuria : general,[{'summary_text': 'alkaptonuria is the most populous country in the world '}]
836,rheumatic fever : general,[{'summary_text': 'rheumatic fever is the most common disease in the world '}]
837,sick sinus syndrome : causes,[{'summary_text': 'sick sinus syndrome is a chronic disease . a symptom '}]
838,connective tissue disease : general,[{'summary_text': 'connective tissue disease : a systoma'}]
839,chondromalacia patellae : general,[{'summary_text': 'chondromalacia patellaee . a '}]
840,prune belly syndrome : diagnosis,[{'summary_text': 'prune belly syndrome is a rare disease . it can cause a'}]
841,hypophysitis : diagnosis,[{'summary_text': 'hypophysitis : diagnosis of a coma '}]
842,polymyalgia rheumatica : causes,[{'summary_text': 'polymyalgia rheumatica : causes'}]
843,post-concussion syndrome : causes,[{'summary_text': 'post-concussion syndrome : causes of . .'}]
844,dentin dysplasia : general,[{'summary_text': 'dentin dysplasia : a symptom .'}]
845,epidermoid cyst : diagnosis,[{'summary_text': 'epidermoid cyst : diagnosis of a coma '}]
846,livedo reticularis : treatments,[{'summary_text': 'livedo reticularis . a symptom : '}]
847,vascular dementia : general,[{'summary_text': 'vascular dementia is a common disorder in the u.s.'}]
848,kyasanur forest disease : causes,[{'summary_text': 'kyasanur forest disease : causes . .'}]
849,gnathostomiasis : diagnosis,[{'summary_text': 'gnathostomiasis is the most common disease in the world'}]
850,dwarfism : treatments,[{'summary_text': 'dwarfism is a disease characterized by sclerosis .'}]
851,encopresis : causes,[{'summary_text': 'encopresis : causes of disease . u.'}]
852,occupational asthma : prevention,[{'summary_text': 'occupational asthma : prevention . click here for all the latest .'}]
853,zollinger–ellison syndrome : treatments,[{'summary_text': 'zollinger–ellison syndrome is a chronic disease . it'}]
854,central nervous system cavernous hemangioma : symptoms,[{'summary_text': 'central nervous system cavernous hemangioma : symptoms'}]
855,meningoencephalitis : symptoms,[{'summary_text': 'meningoencephalitis symptoms : symptoms of . .'}]
856,lichen sclerosus : symptoms,[{'summary_text': 'lichen sclerosus symptoms : symptoms . .'}]
857,trachea : general,"[{'summary_text': ""trachea : 'i'm not sure what to""}]"
858,frostbite : treatments,[{'summary_text': 'frostbite : treatments for the public . click here for'}]
859,vaccinia : general,[{'summary_text': 'vaccinia : u.s. spokesman:'}]
860,feline panleukopenia : diagnosis,[{'summary_text': 'feline panleukopenia : diagnosis . .'}]
861,mitochondrial disease : diagnosis,[{'summary_text': 'mitochondrial disease is the most common disease in the u.s.'}]
862,aphonia : causes,[{'summary_text': 'aphonia is a common disorder that affects people '}]
863,carcinoid : causes,[{'summary_text': 'carcinoid : causes of . . click here for'}]
864,bovine alphaherpesvirus 1 : diagnosis,[{'summary_text': 'bovine alphaherpesvirus 1 is a rare disease '}]
865,aspartylglucosaminuria : symptoms,[{'summary_text': 'aspartylglucosaminuria : symptoms .'}]
866,hand injury : diagnosis,[{'summary_text': 'hand injury diagnosis : diagnosis of a traumatic brain injury .'}]
867,liposarcoma : diagnosis,[{'summary_text': 'liposarcoma : diagnosis . u.s'}]
868,gigantism : general,"[{'summary_text': ""gigantism : what is gigantasm's""}]"
869,aphthous stomatitis : symptoms,[{'summary_text': 'aphthous stomatitis : symptoms'}]
870,supraventricular tachycardia : diagnosis,[{'summary_text': 'supraventricular tachycardia : diagnosis . .'}]
871,granuloma inguinale : treatments,[{'summary_text': 'granuloma inguinale : treatments .'}]
872,chronic traumatic encephalopathy : prevention,[{'summary_text': 'chronic traumatic encephalopathy : prevention . click here for'}]
873,heart failure : causes,[{'summary_text': 'heart failure : causes of a comorbidity .'}]
874,uveitis : symptoms,[{'summary_text': 'uveitis symptoms : symptoms of a coma'}]
875,cornea : symptoms,[{'summary_text': 'cornea is a symptom of swollen somatos'}]
876,transient ischemic attack : treatments,[{'summary_text': 'transient ischemic attack : treatments . u.s'}]
877,periosteal reaction : general,[{'summary_text': 'periosteal reaction : a . general .'}]
878,delusion : physiology,[{'summary_text': 'delusion physiology : physiotherapy . .'}]
879,spondylosis : treatments,[{'summary_text': 'spondylosis . treatments for a coma'}]
880,hypereosinophilic syndrome : symptoms,[{'summary_text': 'hypereosinophilic syndrome : symptoms . .'}]
881,hernia : treatments,"[{'summary_text': ""hernia's treatment aims to improve her health .""}]"
882,anxiety : symptoms,[{'summary_text': 'anxiety symptoms : a sympathetic brain : symptoms'}]
883,chlamydia : prevention,[{'summary_text': 'chlamydia - a chronic disease .'}]
884,sleep deprivation : treatments,[{'summary_text': 'sleep deprivation : treatments . a symptom '}]
885,sulfatidosis : general,[{'summary_text': 'sulfatidosis is the most common disease in the world '}]
886,torticollis : causes,[{'summary_text': 'torticollis : causes of a coma '}]
887,baby bottle : general,[{'summary_text': 'baby bottle : what is a tada .'}]
888,biliary atresia : symptoms,[{'summary_text': 'biliary atresia symptom : symptoms '}]
889,birt–hogg–dubé syndrome : treatments,[{'summary_text': 'birt–hogg–dubé syndrome : treatments '}]
890,schistosoma haematobium : physiology,[{'summary_text': 'schistosoma haematobium : physio'}]
891,lyme disease : diagnosis,[{'summary_text': 'lyme disease is the most common disease in the u.s'}]
892,glaucoma : causes,[{'summary_text': 'glaucoma causes : causes . click here for more'}]
893,common carotid artery : general,[{'summary_text': 'common carotid artery . artery is a common'}]
894,denys–drash syndrome : causes,[{'summary_text': 'denys–drash syndrome causes a disproportionate number of deaths'}]
895,lymphocele : symptoms,[{'summary_text': 'lymphocele . symptoms : symptoms of . .'}]
896,diphyllobothriasis : treatments,[{'summary_text': 'diphyllobothriasis : treatments .'}]
897,cardiogenic shock : treatments,[{'summary_text': 'cardiogenic shock : treatments . a randomized controlled trial '}]
898,helminthiasis : diagnosis,[{'summary_text': 'helminthiasis is a rare disorder . it'}]
899,breast pain : causes,[{'summary_text': 'breast pain causes : bowel disease . bowel syndrome :'}]
900,basal-cell carcinoma : treatments,[{'summary_text': 'basal-cell carcinoma is a common disease . it can cause'}]
901,radiation-induced lung injury : diagnosis,[{'summary_text': 'radiation-induced lung injury . symptoms ascribed to the disease '}]
902,erythroderma : causes,[{'summary_text': 'erythroderma : causes of a coma .'}]
903,salpingitis : general,[{'summary_text': 'salpingitis is the most common disease in the u.s'}]
904,abrasion (dental) : general,[{'summary_text': 'abrasion (dental) is a common disorder .'}]
905,mycobacterial cervical lymphadenitis : diagnosis,[{'summary_text': 'mycobacterial cervical lymphadenitis : diagnosis . '}]
906,spinocerebellar ataxia : symptoms,[{'summary_text': 'spinocerebellar ataxia symptoms : symptoms .'}]
907,choriocarcinoma : physiology,[{'summary_text': 'choriocarcinoma : physiology .'}]
908,encephalitis : symptoms,[{'summary_text': 'encephalitis symptoms : symptoms . a coma'}]
909,ventilator-associated lung injury : diagnosis,[{'summary_text': 'ventilator-associated lung injury : diagnosis . spokesman:'}]
910,systemic lupus erythematosus : general,[{'summary_text': 'systemic lupus erythematosus .'}]
911,glomerulonephritis : diagnosis,[{'summary_text': 'glomerulonephritis : diagnosis of . '}]
912,adrenocortical carcinoma : diagnosis,[{'summary_text': 'adrenocortical carcinoma asymptomatic .'}]
913,herpangina : diagnosis,[{'summary_text': 'herpangina asymptomatic . swollen s'}]
914,diverticulitis : physiology,[{'summary_text': 'diverticulitis a physiology . a common '}]
915,sanfilippo syndrome : treatments,[{'summary_text': 'sanfilippo syndrome is a chronic disease characterized by '}]
916,metacognition : general,[{'summary_text': 'metacognition : a general agnostic '}]
917,chorioretinitis : symptoms,[{'summary_text': 'chorioretinitis symptoms : symptoms of .'}]
918,intermediate uveitis : general,[{'summary_text': 'intermediate uveitis : a general . .'}]
919,glioblastoma : general,[{'summary_text': 'glioblastoma is the most common disease in the world'}]
920,gastroschisis : causes,[{'summary_text': 'gastroschisis is the cause of a coma .'}]
921,synovial chondromatosis : general,[{'summary_text': 'synovial chondromatosis : general .'}]
922,impulsivity : general,[{'summary_text': 'impulsivity : a definite answer to the question .'}]
923,short rib–polydactyly syndrome : general,[{'summary_text': 'short rib–polydactyly syndrome . .'}]
924,freemartin : physiology,"[{'summary_text': ""freemartin's physiology : physio .""}]"
925,childhood schizophrenia : prevention,[{'summary_text': 'childhood schizophrenia : prevention . click here for all the latest .'}]
926,oral cancer : symptoms,[{'summary_text': 'oral cancer is a common condition in the u.s .'}]
927,leydig cell tumour : general,[{'summary_text': 'leydig cell tumour is the most common tumour in the world .'}]
928,choroideremia : diagnosis,[{'summary_text': 'choroideremia is the most common condition in the world .'}]
929,headache : general,[{'summary_text': 'what is headache : a spokesman for the state .'}]
930,ataxia : causes,[{'summary_text': 'ataxia : causes of disease . et al '}]
931,hemolytic–uremic syndrome : causes,[{'summary_text': 'hemolytic–uremic syndrome is a chronic disease . .'}]
932,dissociative identity disorder : diagnosis,[{'summary_text': 'dissociative identity disorder disorder : diagnosis . eli'}]
933,eosinophilic granulomatosis with polyangiitis : symptoms,[{'summary_text': 'eosinophilic granulomatosis with poly'}]
934,cockayne syndrome : causes,[{'summary_text': 'cockayne syndrome is a chronic disorder that causes a stroke '}]
935,mucositis : treatments,[{'summary_text': 'mucositis treatments : treatments . a s'}]
936,hypoglycemia : prevention,[{'summary_text': 'hypoglycemia is a common condition . it can cause'}]
937,persistent vegetative state : general,[{'summary_text': 'persistent vegetative state : a system .'}]
938,pierre robin sequence : causes,[{'summary_text': 'pierre robin sequence is the cause of a serious injury .'}]
939,subacute combined degeneration of spinal cord : treatments,[{'summary_text': 'subacute combined degeneration of spinal cord : treatments . '}]
940,hidradenitis suppurativa : treatments,[{'summary_text': 'hidradenitis suppurativa : treatments'}]
941,hematoma : symptoms,[{'summary_text': 'hematoma symptoms : symptoms of a coma '}]
942,tangier disease : diagnosis,[{'summary_text': 'tangier disease is the most common disease in the uk .'}]
943,pectus carinatum : symptoms,[{'summary_text': 'pectus carinatum : symptoms . .'}]
944,metabolic syndrome : general,[{'summary_text': 'metabolic syndrome : a sympathetic symptom .'}]
945,palmoplantar keratoderma : treatments,[{'summary_text': 'palmoplantar keratoderma : treatments . '}]
946,idiopathic hypersomnia : treatments,[{'summary_text': 'idiopathic hypersomnia - a chronic disease'}]
947,pure alexia : causes,[{'summary_text': 'pure alexia is the cause of a sympathetic '}]
948,diffuse intrinsic pontine glioma : diagnosis,[{'summary_text': 'diffuse intrinsic pontine glioma : diagnosis . '}]
949,epispadias : causes,[{'summary_text': 'epispadiasis : causes of a coma'}]
950,arthralgia : general,[{'summary_text': 'arthralgia is the most populous country in the world'}]
951,juvenile myoclonic epilepsy : general,[{'summary_text': 'juvenile myoclonic epilepsy : a general .'}]
952,hallux varus : general,"[{'summary_text': ""hallux varus : what is hallux's history .""}]"
953,thirst : physiology,[{'summary_text': 'thirst physiology : physiotherapy . elg'}]
954,dissociative identity disorder : physiology,[{'summary_text': 'dissociative identity disorder disorder : physiology . .'}]
955,lymphangitis : general,[{'summary_text': 'lymphangitis is a common disorder . it is common in'}]
956,esophageal atresia : symptoms,[{'summary_text': 'esophageal atresia : symptoms '}]
957,urethral stricture : general,[{'summary_text': 'urethral stricture : a definite answer .'}]
958,thiamine deficiency : diagnosis,[{'summary_text': 'thiamine deficiency asymptomatic . .'}]
959,ovarian hyperstimulation syndrome : symptoms,[{'summary_text': 'ovarian hyperstimulation syndrome . symptoms are common .'}]
960,spinal muscular atrophy : treatments,[{'summary_text': 'spinal muscular atrophy is a common cause . it is common to'}]
961,cat-scratch disease : treatments,[{'summary_text': 'cat-scratch disease is a chronic disease . it'}]
962,fungemia : symptoms,[{'summary_text': 'fungemia symptoms : symptoms of a coma .'}]
963,pair bond : general,[{'summary_text': 'pair bond : what is pair bond? click here for more information '}]
964,myelophthisic anemia : treatments,[{'summary_text': 'myelophthisic anemia is a chronic disease .'}]
965,autonomic dysreflexia : general,[{'summary_text': 'autonomic dysreflexia : a general .'}]
966,amoebiasis : physiology,[{'summary_text': 'amoebiasis : physiology . .'}]
967,paraneoplastic syndrome : treatments,[{'summary_text': 'paraneoplastic syndrome is a chronic disease . .'}]
968,hernia : symptoms,[{'summary_text': 'hernia symptoms : symptoms of . . shen'}]
969,pancreatic pseudocyst : treatments,[{'summary_text': 'pancreatic pseudocyst : treatments . .'}]
970,coccidioidomycosis : treatments,[{'summary_text': 'coccidioidomycosis : treatments .'}]
971,legionnaires' disease : symptoms,"[{'summary_text': ""legionnaires' disease . symptoms include a fever .""}]"
972,bone tumor : treatments,[{'summary_text': 'bone tumor treatments : treatments . click here for more information .'}]
973,soft-tissue sarcoma : treatments,[{'summary_text': 'soft-tissue sarcoma - a treatment for'}]
974,pulmonary edema : diagnosis,[{'summary_text': 'pulmonary edema - a condition that causes a'}]
975,intermediate uveitis : general,[{'summary_text': 'intermediate uveitis : a general . .'}]
976,cerebral hypoxia : causes,[{'summary_text': 'cerebral hypoxia is the cause of a comorbidity '}]
977,acromegaly : general,[{'summary_text': 'acromegaly is the most popular city in the world '}]
978,noonan syndrome with multiple lentigines : diagnosis,[{'summary_text': 'noonan syndrome with multiple lentigines : diagnosis . '}]
979,fournier gangrene : symptoms,[{'summary_text': 'fournier gangrene syndrome : symptoms . hepati'}]
980,multiple endocrine neoplasia type 1 : general,[{'summary_text': 'multiple endocrine neoplasia type 1 '}]
981,peer pressure : physiology,[{'summary_text': 'peer pressure physiology : physiotherapy . : general'}]
982,camurati–engelmann disease : treatments,[{'summary_text': 'camurati–engelmann disease : treatments for it .'}]
983,developmental psychology : general,[{'summary_text': 'developmental psychology : a symbiotic apopto'}]
984,bibliotherapy : treatments,[{'summary_text': 'bibliotherapy treatments are available in the uk . click here for'}]
985,empty sella syndrome : general,"[{'summary_text': ""empty sella syndrome : 'it's not a problem""}]"
986,paraganglioma : general,[{'summary_text': 'paraganglioma : a general . .'}]
987,spermatocele : treatments,[{'summary_text': 'spermatocelea : treatments for spermo'}]
988,human penis : symptoms,[{'summary_text': 'human penis symptoms : symptoms of a coma .'}]
989,anthrax : general,[{'summary_text': 'anthrax is a common disorder in the u.s.'}]
990,diabetic foot ulcer : general,[{'summary_text': 'diabetic foot ulcer : a symptom of a severe '}]
991,extensively drug-resistant tuberculosis : symptoms,[{'summary_text': 'extensively drug-resistant tuberculosis . symptoms .'}]
992,fucosidosis : causes,[{'summary_text': 'fucosidosis : causes of disease . u.'}]
993,macroglossia : general,[{'summary_text': 'macroglossia is a syria'}]
994,diaphragmatic hernia : treatments,[{'summary_text': 'diaphragmatic hernia : treatments . '}]
995,plasmablastic lymphoma : treatments,[{'summary_text': 'plasmablastic lymphoma : treatments for the disease .'}]
996,drive : general,[{'summary_text': 'what is drive : a brief overview of the u.s'}]
997,lupus vulgaris : causes,[{'summary_text': 'lupus vulgaris causes a coma . '}]
998,rickettsiaceae : general,[{'summary_text': 'rickettsiaceae . the u.s'}]
999,ganglioneuroma : general,[{'summary_text': 'ganglioneuroma is the most populous country in the'}]
1000,emotional self-regulation : general,[{'summary_text': 'emotional self-regulation : a skepticism .'}]
1001,vaginitis : prevention,[{'summary_text': 'vaginitis is a common disease . it can cause'}]
1002,lobomycosis : general,[{'summary_text': 'lobomycosis is the most common disease in the world'}]
1003,orthohantavirus : treatments,[{'summary_text': 'orthohantavirus is a disease characterized by a '}]
1004,postpartum depression : prevention,[{'summary_text': 'postpartum depression is the prevention of a coma .'}]
1005,virulent newcastle disease : transmission,[{'summary_text': 'virulent newcastle disease : transmission . u.'}]
1006,echinostoma : general,[{'summary_text': 'echinostoma is the most populous country in the'}]
1007,duchenne muscular dystrophy : treatments,[{'summary_text': 'duchenne muscular dystrophy is a common condition . it'}]
1008,coarctation of the aorta : general,[{'summary_text': 'the aorta is coarctation . it is '}]
1009,neurosis : general,[{'summary_text': 'neurosis is a serious disease . a coma'}]
1010,cauda equina syndrome : symptoms,[{'summary_text': 'cauda equina syndrome : symptoms .'}]
1011,pulmonary atresia : symptoms,[{'summary_text': 'pulmonary atresia symptoms : symptoms . .'}]
1012,neonatal sepsis : diagnosis,[{'summary_text': 'neonatal sepsis : diagnosis of . .'}]
1013,biliary dyskinesia : physiology,[{'summary_text': 'biliary dyskinesia : physiology '}]
1014,collagenous colitis : symptoms,[{'summary_text': 'collagenous colitis . symptoms : symptoms . a '}]
1015,theileria : general,[{'summary_text': 'theileria is the capital of the u.s. .'}]
1016,rubella : symptoms,[{'summary_text': 'rubella symptoms : symptoms of symbiosis '}]
1017,pulmonary embolism : symptoms,[{'summary_text': 'pulmonary embolism symptoms : symptoms . bowel disease '}]
1018,arteriovenous malformation : diagnosis,[{'summary_text': 'arteriovenous malformation : diagnosis of . a '}]
1019,mitral valve prolapse : diagnosis,[{'summary_text': 'mitral valve prolapse asymptomatic . symptom :'}]
1020,primary immunodeficiency : general,[{'summary_text': 'primary immunodeficiency : a general . .'}]
1021,baker's cyst : causes,"[{'summary_text': ""baker's cyst causes a recurrent . .""}]"
1022,iridocorneal endothelial syndrome : treatments,[{'summary_text': 'iridocorneal endothelial syndrome :'}]
1023,cardiorenal syndrome : general,[{'summary_text': 'cardiorenal syndrome is the most common symptom in the world .'}]
1024,delayed puberty : diagnosis,[{'summary_text': 'delayed puberty a symptom : diagnosis . .'}]
1025,panophthalmitis : general,[{'summary_text': 'panophthalmitis is a disease characterized by a '}]
1026,parent : general,[{'summary_text': 'parent : what is parent . s .'}]
1027,nidovirales : general,[{'summary_text': 'nidovirales is a spokesman for the'}]
1028,sunburn : general,"[{'summary_text': ""sunburn : 'it's a good thing to do""}]"
1029,food addiction : symptoms,[{'summary_text': 'food addiction symptoms : symptoms of a coma . '}]
1030,parapsoriasis : general,[{'summary_text': 'parapsoriasis is a common disorder . it'}]
1031,lung cancer : general,[{'summary_text': 'lung cancer : a systodontic .'}]
1032,lymphocytic choriomeningitis : causes,[{'summary_text': 'lymphocytic choriomeningitis :'}]
1033,sjögren syndrome : treatments,[{'summary_text': 'sjögren syndrome is a chronic disease . it is'}]
1034,granulomatous mastitis : causes,[{'summary_text': 'granulomatous mastitis : causes of .'}]
1035,temporomandibular joint dysfunction : general,[{'summary_text': 'temporomandibular joint dysfunction : . .'}]
1036,takayasu's arteritis : treatments,"[{'summary_text': ""takayasu's arteritis :""}]"
1037,radiculopathy : general,[{'summary_text': 'radiculopathy is a common disease . it can cause '}]
1038,rheumatic fever : physiology,[{'summary_text': 'rheumatic fever : physiology . .'}]
1039,aspiration pneumonia : causes,[{'summary_text': 'aspiration pneumonia is a common cause of death . .'}]
1040,hypokalemic periodic paralysis : diagnosis,[{'summary_text': 'hypokalemic periodic paralysis : diagnosis of . .'}]
1041,ileus : causes,[{'summary_text': 'ileus is the most common disease in the u.s.'}]
1042,alpha-1 antitrypsin deficiency : general,[{'summary_text': 'alpha-1 antitrypsin deficiency : general'}]
1043,necrolytic migratory erythema : symptoms,[{'summary_text': 'necrolytic migratory erythema '}]
1044,trump administration family separation policy : general,[{'summary_text': 'trump administration family separation policy . london gov'}]
1045,astigmatism : treatments,[{'summary_text': 'astigmatism is a common disease . it is common to'}]
1046,strongyloidiasis : symptoms,[{'summary_text': 'strongyloidiasis symptoms : symptoms . .'}]
1047,pseudomyxoma peritonei : general,[{'summary_text': 'pseudomyxoma peritoneia : a'}]
1048,erdheim–chester disease : symptoms,[{'summary_text': 'erdheim–chester disease symptom : symptoms of .'}]
1049,capgras delusion : general,"[{'summary_text': ""capgras delusion : 'it's a""}]"
1050,hepatic encephalopathy : general,[{'summary_text': 'hepatic encephalopathy : symptomatic .'}]
1051,glioblastoma : prevention,[{'summary_text': 'glioblastoma : prevention of . .'}]
1052,tonsillitis : causes,[{'summary_text': 'tonsillitis is a common cause of a coma '}]
1053,transfusion-related acute lung injury : general,[{'summary_text': 'transfusion-related acute lung injury : a . .'}]
1054,thyroid nodule : general,[{'summary_text': 'thyroid nodule : a systomy '}]
1055,minnesota multiphasic personality inventory : general,[{'summary_text': 'minnesota multiphasic personality inventory . .'}]
1056,aneurysm : general,[{'summary_text': 'aneurysm is the most common disease in the world .'}]
1057,adrenal insufficiency : general,[{'summary_text': 'adrenal insufficiency is the most common condition in the world '}]
1058,tularemia : treatments,[{'summary_text': 'tularemia is a chronic disease . it can lead to'}]
1059,cholestasis : symptoms,[{'summary_text': 'cholestasis symptoms : symptoms of . .'}]
